Line,Sample,X,Y,Mark,Status,GPSStat,GPSalt,Time[ms],Time[hhmmss.sss],PowerLn,I_18330Hz,Q_18330Hz,I_38310Hz,Q_38310Hz,I_80010Hz,Q_80010Hz,QSum
 0,   6,   481068.18,  4400197.32,   0,0,4, 1761.32, 79836881.400,221036.8814,   23.3,-2.97325e+004,-6.00777e+003,-3.20379e+004,-2.69026e+003,-3.26337e+004, 1.12676e+003,-7.57126e+003
 0,   7,   481068.18,  4400197.32,   0,0,4, 1761.32, 79836981.400,221036.9814,   21.9,-2.97550e+004,-5.90764e+003,-3.20975e+004,-2.82718e+003,-3.26952e+004, 1.20287e+003,-7.53194e+003
 0,   8,   481068.18,  4400197.32,   0,0,4, 1761.32, 79837081.400,221037.0814,   22.6,-2.97074e+004,-5.85431e+003,-3.23859e+004,-2.72457e+003,-3.27980e+004, 1.19533e+003,-7.38355e+003
 0,   9,   481068.18,  4400197.32,   0,0,4, 1761.32, 79837181.400,221037.1814,   23.2,-2.97531e+004,-5.90337e+003,-3.24603e+004,-2.51583e+003,-3.29312e+004, 1.17631e+003,-7.24288e+003
 0,  10,   481068.18,  4400197.32,   0,0,4, 1761.32, 79837281.400,221037.2814,   22.9,-2.96909e+004,-5.90286e+003,-3.23842e+004,-2.53529e+003,-3.29142e+004, 1.20922e+003,-7.22893e+003
 0,  11,   481068.18,  4400197.32,   0,0,4, 1761.32, 79837381.400,221037.3814,   22.8,-2.97268e+004,-5.88284e+003,-3.23925e+004,-2.75498e+003,-3.28685e+004, 1.19258e+003,-7.44524e+003
 0,  12,   481068.18,  4400197.32,   0,0,4, 1761.32, 79837481.400,221037.4814,   22.1,-2.98041e+004,-5.90582e+003,-3.24162e+004,-2.60786e+003,-3.28459e+004, 1.17668e+003,-7.33699e+003
 0,  13,   481068.18,  4400197.32,   0,0,4, 1761.32, 79837581.400,221037.5814,   23.0,-2.96945e+004,-5.88454e+003,-3.22570e+004,-2.49241e+003,-3.28401e+004, 1.13028e+003,-7.24667e+003
 0,  14,   481068.18,  4400197.32,   0,0,4, 1761.31, 79837681.400,221037.6814,   23.3,-2.96622e+004,-5.97700e+003,-3.22992e+004,-2.65469e+003,-3.28456e+004, 1.02745e+003,-7.60423e+003
 0,  15,   481068.18,  4400197.32,   0,0,4, 1761.31, 79837781.400,221037.7814,   23.4,-2.96625e+004,-6.09338e+003,-3.26965e+004,-2.66892e+003,-3.28368e+004, 1.12948e+003,-7.63281e+003
 0,  16,   481068.18,  4400197.32,   0,0,4, 1761.31, 79837881.400,221037.8814,   23.2,-2.97289e+004,-6.07489e+003,-3.27212e+004,-2.58653e+003,-3.29441e+004, 1.16719e+003,-7.49423e+003
 0,  17,   481068.18,  4400197.32,   0,0,4, 1761.31, 79837981.400,221037.9814,   22.7,-2.99087e+004,-6.01375e+003,-3.24432e+004,-2.65322e+003,-3.29882e+004, 1.17784e+003,-7.48914e+003
 0,  18,   481068.17,  4400197.32,   0,0,4, 1761.31, 79838081.400,221038.0814,   22.4,-2.99399e+004,-5.95794e+003,-3.23464e+004,-2.91825e+003,-3.30244e+004, 1.22781e+003,-7.64837e+003
 0,  19,   481068.17,  4400197.32,   0,0,4, 1761.31, 79838181.400,221038.1814,   22.9,-2.98740e+004,-5.96614e+003,-3.25089e+004,-2.71187e+003,-3.30529e+004, 1.15269e+003,-7.52531e+003
 0,  20,   481068.17,  4400197.32,   0,0,4, 1761.31, 79838281.400,221038.2814,   22.1,-2.98405e+004,-6.02669e+003,-3.23760e+004,-2.45776e+003,-3.30050e+004, 1.11722e+003,-7.36723e+003
 0,  21,   481068.17,  4400197.32,   0,0,4, 1761.31, 79838381.400,221038.3814,   21.7,-2.98438e+004,-6.04728e+003,-3.22099e+004,-2.64661e+003,-3.29645e+004, 1.14847e+003,-7.54542e+003
 0,  22,   481068.17,  4400197.32,   0,0,4, 1761.31, 79838481.400,221038.4814,   21.7,-2.98239e+004,-6.04478e+003,-3.23853e+004,-2.78708e+003,-3.29123e+004, 1.24677e+003,-7.58509e+003
 0,  23,   481068.17,  4400197.32,   0,0,4, 1761.31, 79838581.400,221038.5814,   22.5,-2.98418e+004,-5.98944e+003,-3.26475e+004,-2.64020e+003,-3.29614e+004, 1.29444e+003,-7.33520e+003
 0,  24,   481068.17,  4400197.32,   0,0,4, 1761.31, 79838681.400,221038.6814,   21.9,-2.99088e+004,-6.03265e+003,-3.26653e+004,-2.55167e+003,-3.31769e+004, 1.21977e+003,-7.36454e+003
 0,  25,   481068.17,  4400197.32,   0,0,4, 1761.31, 79838781.400,221038.7814,   21.6,-2.99629e+004,-6.12848e+003,-3.25626e+004,-2.67550e+003,-3.32703e+004, 1.20513e+003,-7.59885e+003
 0,  26,   481068.16,  4400197.32,   0,0,4, 1761.31, 79838881.400,221038.8814,   20.9,-3.00416e+004,-6.10303e+003,-3.28148e+004,-2.72687e+003,-3.32481e+004, 1.06736e+003,-7.76254e+003
 0,  27,   481068.16,  4400197.32,   0,0,4, 1761.31, 79838981.400,221038.9814,   22.0,-3.00764e+004,-6.02029e+003,-3.27269e+004,-2.39760e+003,-3.32831e+004, 9.37813e+002,-7.48008e+003
