Line,Sample,X,Y,Mark,Status,GPSStat,GPSalt,Time[ms],Time[hhmmss.sss],PowerLn,I_18330Hz,Q_18330Hz,I_38310Hz,Q_38310Hz,I_80010Hz,Q_80010Hz,QSum
 0,   5,   481067.71,  4400197.95,   0,0,4, 1761.46, 80525823.700,222205.8237,    3.3, 9.93171e+003, 3.53395e+003, 1.11364e+004, 4.35018e+003, 1.28412e+004, 4.39752e+003, 1.22817e+004
 0,   6,   481067.71,  4400197.95,   0,0,4, 1761.46, 80525923.700,222205.9237,    5.8, 1.01284e+004, 3.57366e+003, 1.16476e+004, 4.39148e+003, 1.30899e+004, 3.92150e+003, 1.18866e+004
 0,   7,   481067.71,  4400197.95,   0,0,4, 1761.46, 80526023.700,222206.0237,    4.5, 1.01916e+004, 3.43278e+003, 1.22012e+004, 3.33440e+003, 1.30829e+004, 3.57606e+003, 1.03432e+004
 0,   8,   481067.72,  4400197.95,   0,0,4, 1761.46, 80526123.700,222206.1237,    4.7, 1.01992e+004, 3.25735e+003, 1.18446e+004, 3.37681e+003, 1.33777e+004, 3.67921e+003, 1.03134e+004
 0,   9,   481067.72,  4400197.94,   0,0,4, 1761.46, 80526223.700,222206.2237,    4.8, 1.02536e+004, 3.16829e+003, 1.13521e+004, 3.76638e+003, 1.35032e+004, 3.82994e+003, 1.07646e+004
 0,  10,   481067.72,  4400197.94,   0,0,4, 1761.46, 80526323.700,222206.3237,    2.6, 1.03335e+004, 3.21597e+003, 1.17060e+004, 3.56096e+003, 1.31960e+004, 3.83550e+003, 1.06124e+004
 0,  11,   481067.72,  4400197.94,   0,0,4, 1761.46, 80526423.700,222206.4237,    3.3, 1.03887e+004, 3.19326e+003, 1.15400e+004, 3.09529e+003, 1.31347e+004, 3.73812e+003, 1.00267e+004
 0,  12,   481067.72,  4400197.94,   0,0,4, 1761.46, 80526523.700,222206.5237,    3.3, 1.03096e+004, 3.04103e+003, 1.12602e+004, 3.25661e+003, 1.30854e+004, 3.82262e+003, 1.01203e+004
 0,  13,   481067.72,  4400197.94,   0,0,4, 1761.46, 80526623.700,222206.6237,    4.1, 1.02989e+004, 3.02854e+003, 1.15536e+004, 3.56460e+003, 1.28899e+004, 4.20061e+003, 1.07937e+004
 0,  14,   481067.72,  4400197.94,   0,0,4, 1761.46, 80526723.700,222206.7237,    2.8, 1.02238e+004, 2.99621e+003, 1.18626e+004, 3.18226e+003, 1.28452e+004, 4.09559e+003, 1.02741e+004
 0,  15,   481067.72,  4400197.94,   0,0,4, 1761.46, 80526823.700,222206.8237,    2.5, 1.00959e+004, 2.88027e+003, 1.15135e+004, 3.10921e+003, 1.27814e+004, 4.13091e+003, 1.01204e+004
 0,  16,   481067.72,  4400197.93,   0,0,4, 1761.46, 80526923.700,222206.9237,    3.2, 1.00953e+004, 2.77007e+003, 1.11165e+004, 3.87640e+003, 1.30881e+004, 4.26181e+003, 1.09083e+004
 0,  17,   481067.72,  4400197.93,   0,0,4, 1761.46, 80527023.700,222207.0237,    3.6, 1.01676e+004, 2.74136e+003, 1.15906e+004, 4.04138e+003, 1.33115e+004, 4.26418e+003, 1.10469e+004
 0,  18,   481067.72,  4400197.93,   0,0,4, 1761.46, 80527123.700,222207.1237,    2.4, 1.01932e+004, 2.79765e+003, 1.17046e+004, 2.98155e+003, 1.34772e+004, 4.37858e+003, 1.01578e+004
 0,  19,   481067.72,  4400197.93,   0,0,4, 1761.46, 80527223.700,222207.2237,    3.3, 1.01894e+004, 2.92843e+003, 1.14187e+004, 2.85046e+003, 1.36057e+004, 4.30931e+003, 1.00882e+004
 0,  20,   481067.72,  4400197.93,   0,0,4, 1761.46, 80527323.700,222207.3237,    2.0, 1.01533e+004, 3.05476e+003, 1.13354e+004, 3.88782e+003, 1.36168e+004, 4.11652e+003, 1.10591e+004
 0,  21,   481067.72,  4400197.93,   0,0,4, 1761.46, 80527423.700,222207.4237,    2.6, 1.00647e+004, 3.01996e+003, 1.20891e+004, 4.06423e+003, 1.34808e+004, 4.16171e+003, 1.12459e+004
 0,  22,   481067.72,  4400197.93,   0,0,4, 1761.46, 80527523.700,222207.5237,    3.9, 9.92722e+003, 3.05470e+003, 1.17733e+004, 3.12089e+003, 1.30449e+004, 4.51128e+003, 1.06869e+004
 0,  23,   481067.72,  4400197.93,   0,0,4, 1761.46, 80527623.700,222207.6237,    3.2, 9.79777e+003, 3.21243e+003, 1.07320e+004, 2.91721e+003, 1.28196e+004, 4.64611e+003, 1.07757e+004
 0,  24,   481067.72,  4400197.93,   0,0,4, 1761.46, 80527723.700,222207.7237,    7.1, 9.83442e+003, 3.25195e+003, 1.10959e+004, 3.78403e+003, 1.27978e+004, 4.63702e+003, 1.16730e+004
 0,  25,   481067.72,  4400197.93,   0,0,4, 1761.46, 80527823.700,222207.8237,    7.1, 9.80220e+003, 3.29941e+003, 1.18777e+004, 3.72872e+003, 1.26701e+004, 4.43706e+003, 1.14652e+004
 0,  26,   481067.71,  4400197.93,   0,0,4, 1761.46, 80527923.700,222207.9237,   10.0, 9.64997e+003, 3.35323e+003, 1.14290e+004, 3.31319e+003, 1.25858e+004, 4.32895e+003, 1.09954e+004
 0,  27,   481067.70,  4400197.93,   0,0,4, 1761.46, 80528023.700,222208.0237,    5.2, 9.53258e+003, 3.38829e+003, 1.08085e+004, 3.54024e+003, 1.24047e+004, 4.35888e+003, 1.12874e+004
 0,  28,   481067.69,  4400197.93,   0,0,4, 1761.46, 80528123.700,222208.1237,    4.7, 9.47021e+003, 3.26081e+003, 1.09580e+004, 4.28248e+003, 1.21307e+004, 4.36637e+003, 1.19097e+004
 0,  29,   481067.68,  4400197.93,   0,0,4, 1761.46, 80528223.700,222208.2237,    2.7, 9.25164e+003, 3.02757e+003, 1.09288e+004, 3.70259e+003, 1.16586e+004, 4.40766e+003, 1.11378e+004
 0,  30,   481067.68,  4400197.94,   0,0,4, 1761.46, 80528323.700,222208.3237,    1.5, 9.01660e+003, 2.90771e+003, 1.02802e+004, 2.83437e+003, 1.14212e+004, 4.34560e+003, 1.00877e+004
 0,  31,   481067.67,  4400197.94,   0,0,4, 1761.46, 80528423.700,222208.4237,    1.7, 9.00635e+003, 2.99997e+003, 9.87197e+003, 3.26277e+003, 1.16357e+004, 3.97251e+003, 1.02353e+004
 0,  32,   481067.66,  4400197.94,   0,0,4, 1761.46, 80528523.700,222208.5237,    2.9, 9.07240e+003, 3.02774e+003, 1.05929e+004, 3.61508e+003, 1.17584e+004, 3.90851e+003, 1.05513e+004
 0,  33,   481067.65,  4400197.94,   0,0,4, 1761.46, 80528623.700,222208.6237,    4.4, 9.18779e+003, 2.89895e+003, 1.09510e+004, 3.34687e+003, 1.15870e+004, 4.07168e+003, 1.03175e+004
 0,  34,   481067.64,  4400197.94,   0,0,4, 1761.46, 80528723.700,222208.7237,    5.0, 9.22227e+003, 2.78565e+003, 1.06911e+004, 3.07099e+003, 1.16113e+004, 3.85408e+003, 9.71072e+003
 0,  35,   481067.64,  4400197.95,   0,0,4, 1761.46, 80528823.700,222208.8237,    4.0, 9.27921e+003, 2.81175e+003, 1.07812e+004, 3.01464e+003, 1.19033e+004, 3.73879e+003, 9.56518e+003
 0,  36,   481067.63,  4400197.95,   0,0,4, 1761.46, 80528923.700,222208.9237,    4.5, 9.35279e+003, 2.77513e+003, 1.06120e+004, 2.90093e+003, 1.17929e+004, 3.57094e+003, 9.24701e+003
 0,  37,   481067.63,  4400197.95,   0,0,4, 1761.46, 80529023.700,222209.0237,    4.5, 9.44918e+003, 2.75688e+003, 1.01618e+004, 2.84379e+003, 1.16476e+004, 3.48341e+003, 9.08408e+003
 0,  38,   481067.63,  4400197.95,   0,0,4, 1761.46, 80529123.700,222209.1237,   10.2, 9.45343e+003, 2.70593e+003, 1.04190e+004, 3.06511e+003, 1.18119e+004, 3.75663e+003, 9.52768e+003
 0,  39,   481067.62,  4400197.96,   0,0,4, 1761.46, 80529223.700,222209.2237,    5.7, 9.50208e+003, 2.61330e+003, 1.08627e+004, 3.14797e+003, 1.18206e+004, 4.05998e+003, 9.82125e+003
 0,  40,   481067.62,  4400197.96,   0,0,4, 1761.46, 80529323.700,222209.3237,    5.6, 9.63721e+003, 2.67010e+003, 1.09788e+004, 3.06522e+003, 1.21131e+004, 3.82111e+003, 9.55643e+003
 0,  41,   481067.62,  4400197.96,   0,0,4, 1761.45, 80529423.700,222209.4237,    9.2, 9.58877e+003, 2.84153e+003, 1.06611e+004, 3.34743e+003, 1.23960e+004, 3.69918e+003, 9.88815e+003
 0,  42,   481067.61,  4400197.96,   0,0,4, 1761.45, 80529523.700,222209.5237,    6.7, 9.51250e+003, 2.95742e+003, 1.06339e+004, 4.09443e+003, 1.23469e+004, 3.96812e+003, 1.10200e+004
 0,  43,   481067.61,  4400197.97,   0,0,4, 1761.45, 80529623.700,222209.6237,    5.1, 9.55070e+003, 2.85400e+003, 1.08632e+004, 3.83297e+003, 1.24389e+004, 4.08336e+003, 1.07703e+004
 0,  44,   481067.61,  4400197.97,   0,0,4, 1761.45, 80529723.700,222209.7237,    2.1, 9.62226e+003, 2.84462e+003, 1.07432e+004, 3.48022e+003, 1.24275e+004, 4.02334e+003, 1.03482e+004
 0,  45,   481067.60,  4400197.97,   0,0,4, 1761.45, 80529823.700,222209.8237,    3.9, 9.61312e+003, 2.82218e+003, 1.05961e+004, 3.71193e+003, 1.23579e+004, 4.02946e+003, 1.05636e+004
 0,  46,   481067.61,  4400197.97,   0,0,4, 1761.45, 80529923.700,222209.9237,    7.4, 9.45556e+003, 2.92219e+003, 1.10286e+004, 4.01451e+003, 1.21649e+004, 4.07276e+003, 1.10095e+004
 0,  47,   481067.61,  4400197.97,   0,0,4, 1761.45, 80530023.700,222210.0237,    2.9, 8.99592e+003, 3.03631e+003, 1.09370e+004, 3.58739e+003, 1.19518e+004, 3.99889e+003, 1.06226e+004
 0,  48,   481067.61,  4400197.97,   0,0,4, 1761.45, 80530123.700,222210.1237,    2.6, 8.48112e+003, 2.95942e+003, 9.59808e+003, 3.27733e+003, 1.19443e+004, 3.78392e+003, 1.00207e+004
 0,  49,   481067.62,  4400197.97,   0,0,4, 1761.45, 80530223.700,222210.2237,    2.4, 8.26571e+003, 2.95829e+003, 8.79850e+003, 3.58880e+003, 1.12252e+004, 3.68959e+003, 1.02367e+004
 0,  50,   481067.62,  4400197.97,   0,0,4, 1761.44, 80530323.700,222210.3237,    3.0, 8.22001e+003, 2.98192e+003, 9.51738e+003, 3.43926e+003, 1.08470e+004, 3.96456e+003, 1.03857e+004
 0,  51,   481067.62,  4400197.97,   0,0,4, 1761.44, 80530423.700,222210.4237,    1.6, 8.23273e+003, 3.00688e+003, 1.01956e+004, 3.43843e+003, 1.12276e+004, 4.28720e+003, 1.07325e+004
 0,  52,   481067.62,  4400197.98,   0,0,4, 1761.44, 80530523.700,222210.5237,    2.5, 8.26217e+003, 3.04398e+003, 9.66308e+003, 3.73027e+003, 1.14673e+004, 4.26773e+003, 1.10420e+004
 0,  53,   481067.63,  4400197.98,   0,0,4, 1761.44, 80530623.700,222210.6237,    1.3, 8.48246e+003, 3.04254e+003, 9.64194e+003, 3.73564e+003, 1.15475e+004, 3.79920e+003, 1.05774e+004
 0,  54,   481067.63,  4400197.98,   0,0,4, 1761.44, 80530723.700,222210.7237,    3.6, 8.58086e+003, 3.01773e+003, 1.01516e+004, 3.52795e+003, 1.14686e+004, 3.96878e+003, 1.05145e+004
 0,  55,   481067.63,  4400197.98,   0,0,4, 1761.44, 80530823.700,222210.8237,    2.4, 8.41784e+003, 2.99310e+003, 1.00961e+004, 3.54508e+003, 1.15663e+004, 4.31570e+003, 1.08539e+004
 0,  56,   481067.64,  4400197.97,   0,0,4, 1761.44, 80530923.700,222210.9237,    1.9, 8.46080e+003, 3.05105e+003, 9.37616e+003, 3.43554e+003, 1.15066e+004, 4.44807e+003, 1.09347e+004
 0,  57,   481067.64,  4400197.97,   0,0,4, 1761.44, 80531023.700,222211.0237,    2.7, 8.54298e+003, 3.08379e+003, 9.66082e+003, 3.36367e+003, 1.15802e+004, 4.57131e+003, 1.10188e+004
 0,  58,   481067.64,  4400197.97,   0,0,4, 1761.44, 80531123.700,222211.1237,    4.1, 8.47406e+003, 3.18411e+003, 1.01837e+004, 3.57612e+003, 1.14612e+004, 4.49047e+003, 1.12507e+004
 0,  59,   481067.65,  4400197.97,   0,0,4, 1761.44, 80531223.700,222211.2237,    2.8, 8.47171e+003, 3.37007e+003, 9.93000e+003, 3.76935e+003, 1.13476e+004, 4.27832e+003, 1.14177e+004
 0,  60,   481067.65,  4400197.97,   0,0,4, 1761.44, 80531323.700,222211.3237,    2.0, 8.62313e+003, 3.45972e+003, 9.72018e+003, 4.08777e+003, 1.14289e+004, 4.04065e+003, 1.15881e+004
 0,  61,   481067.65,  4400197.97,   0,0,4, 1761.45, 80531423.700,222211.4237,    1.7, 8.80885e+003, 3.43096e+003, 9.93743e+003, 3.97523e+003, 1.16074e+004, 4.23577e+003, 1.16420e+004
