Line,Lineset\CTK Side Line 1 (E-W)-ch2
Frequency (MHz),Average Amplitude (mV)
0,0.0118997
4.88281,0.0117024
9.76563,0.0116285
14.6484,0.0113762
19.5313,0.0112359
24.4141,0.0118715
29.2969,0.0125551
34.1797,0.0136775
39.0625,0.0143482
43.9453,0.0138489
48.8281,0.0122005
53.7109,0.00938979
58.5938,0.00997812
63.4766,0.0184209
68.3594,0.0329003
73.2422,0.051383
78.125,0.0735436
83.0078,0.0986694
87.8906,0.125622
92.7734,0.155725
97.6563,0.187766
102.539,0.218794
107.422,0.250831
112.305,0.286101
117.188,0.32323
122.07,0.362243
126.953,0.403682
131.836,0.446251
136.719,0.488853
141.602,0.529643
146.484,0.566142
151.367,0.596981
156.25,0.620226
161.133,0.634423
166.016,0.640474
170.898,0.638901
175.781,0.630029
180.664,0.615704
185.547,0.597363
190.43,0.57571
195.313,0.552008
200.195,0.527385
205.078,0.502115
209.961,0.475945
214.844,0.448706
219.727,0.420288
224.609,0.390527
229.492,0.360001
234.375,0.32956
239.258,0.299314
244.141,0.269805
249.023,0.242039
253.906,0.216449
258.789,0.19426
263.672,0.176532
268.555,0.162454
273.438,0.151273
278.32,0.142682
283.203,0.135882
288.086,0.130238
292.969,0.125425
297.852,0.121021
302.734,0.116508
307.617,0.111597
312.5,0.106753
317.383,0.102238
322.266,0.0977818
327.148,0.093772
332.031,0.0901951
336.914,0.086737
341.797,0.0838602
346.68,0.0821517
351.563,0.0814123
356.445,0.0811591
361.328,0.0804848
366.211,0.0792916
371.094,0.0783451
375.977,0.0774354
380.859,0.0758902
385.742,0.0738684
390.625,0.0711747
395.508,0.0677356
400.391,0.0647871
405.273,0.0626288
410.156,0.0602492
415.039,0.0578861
419.922,0.0558747
424.805,0.0537694
429.688,0.0518045
434.57,0.0494847
439.453,0.0466362
444.336,0.0441215
449.219,0.0417139
454.102,0.0390635
458.984,0.03608
463.867,0.0329099
468.75,0.0302968
473.633,0.0277491
478.516,0.0254159
483.398,0.0234998
488.281,0.0213747
493.164,0.021613
498.047,0.024617
502.93,0.0239749
507.813,0.0195958
512.695,0.0169647
517.578,0.0168832
522.461,0.016158
527.344,0.0155913
532.227,0.0151129
537.109,0.0146363
541.992,0.0141785
546.875,0.0138655
551.758,0.0136511
556.641,0.0129985
561.523,0.0128518
566.406,0.0130051
571.289,0.0127512
576.172,0.012481
581.055,0.0122578
585.938,0.0123117
590.82,0.0123949
595.703,0.0123558
600.586,0.0123615
605.469,0.0124172
610.352,0.0126476
615.234,0.0127516
620.117,0.0127435
625,0.0126927
629.883,0.0127083
634.766,0.0126184
639.648,0.0123544
644.531,0.0123205
649.414,0.0123781
654.297,0.0122663
659.18,0.0121536
664.063,0.0119936
668.945,0.0118146
673.828,0.011669
678.711,0.0117509
683.594,0.0117786
688.477,0.0117233
693.359,0.0119878
698.242,0.0123985
703.125,0.0124265
708.008,0.0122434
712.891,0.012259
717.773,0.0119336
722.656,0.011609
727.539,0.0114694
732.422,0.0111791
737.305,0.0109109
742.188,0.0104845
747.07,0.0101311
751.953,0.0101114
756.836,0.0100497
761.719,0.00953234
766.602,0.00941595
771.484,0.00937919
776.367,0.00915903
781.25,0.0091587
786.133,0.00894921
791.016,0.00875498
795.898,0.00874594
800.781,0.00871031
805.664,0.0085735
810.547,0.00847184
815.43,0.00849752
820.313,0.00852841
825.195,0.00860964
830.078,0.00849965
834.961,0.00842371
839.844,0.00840573
844.727,0.00850525
849.609,0.00859434
854.492,0.00875528
859.375,0.0086763
864.258,0.00864564
869.141,0.00892793
874.023,0.00903022
878.906,0.0090098
883.789,0.00901204
888.672,0.00903582
893.555,0.00884799
898.438,0.00881504
903.32,0.00887016
908.203,0.00905112
913.086,0.00924864
917.969,0.00926401
922.852,0.00914054
927.734,0.00918134
932.617,0.00941894
937.5,0.00924138
942.383,0.00904739
947.266,0.0092097
952.148,0.00894474
957.031,0.00857093
961.914,0.0085309
966.797,0.00854123
971.68,0.00845969
976.563,0.00829325
981.445,0.00809772
986.328,0.00803177
991.211,0.00791188
996.094,0.00802916
1000.98,0.0081682
1005.86,0.00808959
1010.74,0.00802094
1015.63,0.00814431
1020.51,0.00830539
1025.39,0.00815161
1030.27,0.00806084
1035.16,0.0081321
1040.04,0.00818733
1044.92,0.00817284
1049.8,0.00813883
1054.69,0.00801761
1059.57,0.00795761
1064.45,0.00792713
1069.34,0.00798046
1074.22,0.0083001
1079.1,0.00839423
1083.98,0.00837729
1088.87,0.00844941
1093.75,0.00853289
1098.63,0.00838455
1103.52,0.00841202
1108.4,0.00856508
1113.28,0.00846849
1118.16,0.00836138
1123.05,0.00846256
1127.93,0.00844784
1132.81,0.00834267
1137.7,0.00839029
1142.58,0.00850479
1147.46,0.00844728
1152.34,0.00834872
1157.23,0.0083706
1162.11,0.00824626
1166.99,0.00817529
1171.88,0.0081305
1176.76,0.00820323
1181.64,0.00817547
1186.52,0.00810502
1191.41,0.00812165
1196.29,0.00811091
1201.17,0.00808501
1206.05,0.0081032
1210.94,0.00798467
1215.82,0.0081224
1220.7,0.00832861
1225.59,0.00848643
1230.47,0.00837738
1235.35,0.00813074
1240.23,0.00829916
1245.12,0.00840314
1250,0.00746787
