Line,Lineset\Center Line 1 (E-W)-ch2
Frequency (MHz),Average Amplitude (mV)
0,0.0115188
4.88281,0.0113466
9.76563,0.011245
14.6484,0.0110031
19.5313,0.0108779
24.4141,0.0114659
29.2969,0.0121803
34.1797,0.0131933
39.0625,0.0137321
43.9453,0.0131384
48.8281,0.0114376
53.7109,0.00886998
58.5938,0.0101998
63.4766,0.0192517
68.3594,0.0340228
73.2422,0.0527717
78.125,0.0749445
83.0078,0.100033
87.8906,0.127312
92.7734,0.157372
97.6563,0.188375
102.539,0.218465
107.422,0.250605
112.305,0.286544
117.188,0.324415
122.07,0.364489
126.953,0.407293
131.836,0.450688
136.719,0.493212
141.602,0.533808
146.484,0.569885
151.367,0.59891
156.25,0.619065
161.133,0.629494
166.016,0.631119
170.898,0.625695
175.781,0.614312
180.664,0.597574
185.547,0.577239
190.43,0.555706
195.313,0.53323
200.195,0.509125
205.078,0.48422
209.961,0.459235
214.844,0.433987
219.727,0.40861
224.609,0.383413
229.492,0.35853
234.375,0.333872
239.258,0.309558
244.141,0.286309
249.023,0.264591
253.906,0.244205
258.789,0.225713
263.672,0.210152
268.555,0.197189
273.438,0.1858
278.32,0.175635
283.203,0.166221
288.086,0.156685
292.969,0.147083
297.852,0.137834
302.734,0.128416
307.617,0.118699
312.5,0.109387
317.383,0.101057
322.266,0.0937746
327.148,0.087348
332.031,0.081937
336.914,0.0780523
341.797,0.0751159
346.68,0.0728793
351.563,0.0715554
356.445,0.0704526
361.328,0.0693912
366.211,0.0688231
371.094,0.0683307
375.977,0.0676667
380.859,0.0669291
385.742,0.0658909
390.625,0.0644081
395.508,0.0626874
400.391,0.0612341
405.273,0.0598076
410.156,0.0582685
415.039,0.0571404
419.922,0.0561913
424.805,0.0547284
429.688,0.0534511
434.57,0.0521872
439.453,0.0503616
444.336,0.0484615
449.219,0.0461789
454.102,0.0433852
458.984,0.0406425
463.867,0.037949
468.75,0.0351364
473.633,0.032019
478.516,0.029063
483.398,0.0267419
488.281,0.0244544
493.164,0.0239756
498.047,0.0256969
502.93,0.0247472
507.813,0.0208389
512.695,0.0179379
517.578,0.017287
522.461,0.0166869
527.344,0.0161364
532.227,0.0152904
537.109,0.0144073
541.992,0.014033
546.875,0.013604
551.758,0.0133275
556.641,0.0129814
561.523,0.0127907
566.406,0.0126194
571.289,0.0122812
576.172,0.0122007
581.055,0.0122834
585.938,0.0121667
590.82,0.0121868
595.703,0.0121026
600.586,0.0121654
605.469,0.0123834
610.352,0.01257
615.234,0.0125924
620.117,0.0125871
625,0.0125461
629.883,0.0126109
634.766,0.0126516
639.648,0.0123606
644.531,0.0119762
649.414,0.0119354
654.297,0.0119078
659.18,0.0118594
664.063,0.0116414
668.945,0.0114818
673.828,0.0117585
678.711,0.0118259
683.594,0.0116099
688.477,0.0117653
693.359,0.0119838
698.242,0.011884
703.125,0.0118794
708.008,0.011865
712.891,0.0118012
717.773,0.0116574
722.656,0.0112034
727.539,0.0106433
732.422,0.0104256
737.305,0.0102036
742.188,0.00997672
747.07,0.00997509
751.953,0.00960026
756.836,0.00922899
761.719,0.00936524
766.602,0.00918281
771.484,0.00869277
776.367,0.00884777
781.25,0.00896445
786.133,0.00874216
791.016,0.00876815
795.898,0.00867182
800.781,0.0083189
805.664,0.00833509
810.547,0.00842611
815.43,0.00817682
820.313,0.00813846
825.195,0.00840877
830.078,0.0083708
834.961,0.00832099
839.844,0.00840667
844.727,0.0083898
849.609,0.0084967
854.492,0.00840724
859.375,0.00837648
864.258,0.00843162
869.141,0.00855688
874.023,0.00867436
878.906,0.00875996
883.789,0.00866106
888.672,0.00873337
893.555,0.00897503
898.438,0.00893758
903.32,0.00886172
908.203,0.00906747
913.086,0.00911376
917.969,0.00903832
922.852,0.00905535
927.734,0.00884944
932.617,0.00906813
937.5,0.00917549
942.383,0.00895934
947.266,0.0089916
952.148,0.00893399
957.031,0.00872734
961.914,0.00854535
966.797,0.00834526
971.68,0.0083431
976.563,0.00842955
981.445,0.00835174
986.328,0.00832621
991.211,0.00797929
996.094,0.00784477
1000.98,0.00799354
1005.86,0.00790952
1010.74,0.00784312
1015.63,0.00788321
1020.51,0.00805676
1025.39,0.00796543
1030.27,0.0079104
1035.16,0.0081674
1040.04,0.00804064
1044.92,0.00793305
1049.8,0.00800989
1054.69,0.00798957
1059.57,0.00796447
1064.45,0.00800916
1069.34,0.00798089
1074.22,0.00807514
1079.1,0.00813151
1083.98,0.00821579
1088.87,0.00835543
1093.75,0.00840551
1098.63,0.00835436
1103.52,0.00838529
1108.4,0.00829248
1113.28,0.0083829
1118.16,0.00844533
1123.05,0.00844955
1127.93,0.00863792
1132.81,0.00863896
1137.7,0.0083782
1142.58,0.00841643
1147.46,0.00822415
1152.34,0.00810907
1157.23,0.00823949
1162.11,0.00823834
1166.99,0.00794238
1171.88,0.00778971
1176.76,0.00783274
1181.64,0.00790914
1186.52,0.00792643
1191.41,0.00785322
1196.29,0.00789065
1201.17,0.0080526
1206.05,0.00800746
1210.94,0.00797643
1215.82,0.00819446
1220.7,0.00820492
1225.59,0.00816216
1230.47,0.00809289
1235.35,0.00802179
1240.23,0.00811889
1245.12,0.00833781
1250,0.00760356
