Line,Lineset\Center Line 1 100MHZ (E-W)-ch2
Frequency (MHz),Average Amplitude (mV)
0,0.035643
4.88281,0.0360787
9.76563,0.0393208
14.6484,0.0440922
19.5313,0.0540454
24.4141,0.067058
29.2969,0.0815209
34.1797,0.10163
39.0625,0.118938
43.9453,0.132116
48.8281,0.14534
53.7109,0.156543
58.5938,0.162349
63.4766,0.166204
68.3594,0.169834
73.2422,0.174595
78.125,0.171339
83.0078,0.163507
87.8906,0.160488
92.7734,0.153989
97.6563,0.145315
102.539,0.135618
107.422,0.129526
112.305,0.128464
117.188,0.129147
122.07,0.1261
126.953,0.125391
131.836,0.129405
136.719,0.131933
141.602,0.137963
146.484,0.143438
151.367,0.149219
156.25,0.1525
161.133,0.151151
166.016,0.152198
170.898,0.152798
175.781,0.153961
180.664,0.151948
185.547,0.147467
190.43,0.145865
195.313,0.143518
200.195,0.140203
205.078,0.138046
209.961,0.134391
214.844,0.134658
219.727,0.137615
224.609,0.136559
229.492,0.136699
234.375,0.139749
239.258,0.142496
244.141,0.143527
249.023,0.145301
253.906,0.153426
258.789,0.15559
263.672,0.151373
268.555,0.151273
273.438,0.152365
278.32,0.151485
283.203,0.149767
288.086,0.147869
292.969,0.144649
297.852,0.141114
302.734,0.139233
307.617,0.139047
312.5,0.138689
317.383,0.139525
322.266,0.141627
327.148,0.143883
332.031,0.142387
336.914,0.141887
341.797,0.147435
346.68,0.150026
351.563,0.151558
356.445,0.150965
361.328,0.151711
366.211,0.153581
371.094,0.149199
375.977,0.148988
380.859,0.147452
385.742,0.148521
390.625,0.147942
395.508,0.141936
400.391,0.142294
405.273,0.142349
410.156,0.140198
415.039,0.141896
419.922,0.144908
424.805,0.145222
429.688,0.142345
434.57,0.146503
439.453,0.147671
444.336,0.146689
449.219,0.153524
454.102,0.151341
458.984,0.150453
463.867,0.152469
468.75,0.151294
473.633,0.156729
478.516,0.15749
483.398,0.152496
488.281,0.157727
493.164,0.150411
498.047,0.168338
502.93,0.265487
507.813,0.318543
512.695,0.256553
517.578,0.160944
522.461,0.15411
527.344,0.162674
532.227,0.158534
537.109,0.15579
541.992,0.154111
546.875,0.157803
551.758,0.159549
556.641,0.158015
561.523,0.158282
566.406,0.166407
571.289,0.171265
576.172,0.166242
581.055,0.15925
585.938,0.149035
590.82,0.144878
595.703,0.149743
600.586,0.152407
605.469,0.151537
610.352,0.14918
615.234,0.148903
620.117,0.150027
625,0.148357
629.883,0.152382
634.766,0.156144
639.648,0.158864
644.531,0.163459
649.414,0.165688
654.297,0.165476
659.18,0.160609
664.063,0.155155
668.945,0.152806
673.828,0.154269
678.711,0.15383
683.594,0.154393
688.477,0.152662
693.359,0.149097
698.242,0.149013
703.125,0.149587
708.008,0.1461
712.891,0.148115
717.773,0.150777
722.656,0.15057
727.539,0.151202
732.422,0.150892
737.305,0.151444
742.188,0.15419
747.07,0.15705
751.953,0.154506
756.836,0.152753
761.719,0.153045
766.602,0.154268
771.484,0.153144
776.367,0.155491
781.25,0.156801
786.133,0.154334
791.016,0.153163
795.898,0.151247
800.781,0.151304
805.664,0.152043
810.547,0.153135
815.43,0.155046
820.313,0.154438
825.195,0.150086
830.078,0.149508
834.961,0.152927
839.844,0.15457
844.727,0.155254
849.609,0.156124
854.492,0.156254
859.375,0.156193
864.258,0.155271
869.141,0.154501
874.023,0.152941
878.906,0.154055
883.789,0.15536
888.672,0.155754
893.555,0.150035
898.438,0.146338
903.32,0.150733
908.203,0.15511
913.086,0.155727
917.969,0.155547
922.852,0.157104
927.734,0.156074
932.617,0.159198
937.5,0.161019
942.383,0.158927
947.266,0.160717
952.148,0.159267
957.031,0.156822
961.914,0.159235
966.797,0.161184
971.68,0.159171
976.563,0.15974
981.445,0.161341
986.328,0.158998
991.211,0.155077
996.094,0.154987
1000.98,0.153949
1005.86,0.154046
1010.74,0.157191
1015.63,0.160235
1020.51,0.157608
1025.39,0.15379
1030.27,0.155935
1035.16,0.155165
1040.04,0.15767
1044.92,0.156959
1049.8,0.155031
1054.69,0.157758
1059.57,0.158227
1064.45,0.16107
1069.34,0.161653
1074.22,0.155806
1079.1,0.155871
1083.98,0.157669
1088.87,0.155278
1093.75,0.154882
1098.63,0.157639
1103.52,0.155558
1108.4,0.152437
1113.28,0.153362
1118.16,0.151565
1123.05,0.15374
1127.93,0.156894
1132.81,0.158089
1137.7,0.157387
1142.58,0.159981
1147.46,0.163114
1152.34,0.163171
1157.23,0.162055
1162.11,0.16102
1166.99,0.161443
1171.88,0.158422
1176.76,0.154545
1181.64,0.15679
1186.52,0.154782
1191.41,0.154202
1196.29,0.155719
1201.17,0.158303
1206.05,0.157714
1210.94,0.157748
1215.82,0.161127
1220.7,0.164633
1225.59,0.168782
1230.47,0.173069
1235.35,0.170556
1240.23,0.171242
1245.12,0.176096
1250,0.157692
