Line,Lineset\South (CTK Side) Line -ch2
Frequency (MHz),Average Amplitude (mV)
0,0.09786
4.88281,0.0978935
9.76563,0.0990736
14.6484,0.100924
19.5313,0.102289
24.4141,0.105257
29.2969,0.108621
34.1797,0.112097
39.0625,0.117701
43.9453,0.12473
48.8281,0.135754
53.7109,0.149734
58.5938,0.164097
63.4766,0.182671
68.3594,0.208265
73.2422,0.235107
78.125,0.263564
83.0078,0.300374
87.8906,0.33607
92.7734,0.370906
97.6563,0.411754
102.539,0.448379
107.422,0.485378
112.305,0.523539
117.188,0.553128
122.07,0.58705
126.953,0.625733
131.836,0.656272
136.719,0.677834
141.602,0.691858
146.484,0.707297
151.367,0.725136
156.25,0.738161
161.133,0.743972
166.016,0.736616
170.898,0.727231
175.781,0.724299
180.664,0.70886
185.547,0.680898
190.43,0.657627
195.313,0.63723
200.195,0.610583
205.078,0.57952
209.961,0.548746
214.844,0.519735
219.727,0.496887
224.609,0.47301
229.492,0.443845
234.375,0.422177
239.258,0.404001
244.141,0.38472
249.023,0.365752
253.906,0.345385
258.789,0.330429
263.672,0.317179
268.555,0.309998
273.438,0.304604
278.32,0.293618
283.203,0.295341
288.086,0.291475
292.969,0.281365
297.852,0.282301
302.734,0.27419
307.617,0.26933
312.5,0.264269
317.383,0.255043
322.266,0.2616
327.148,0.251212
332.031,0.232352
336.914,0.228225
341.797,0.214136
346.68,0.202224
351.563,0.194313
356.445,0.184689
361.328,0.175773
366.211,0.159034
371.094,0.159356
375.977,0.158549
380.859,0.135579
385.742,0.128154
390.625,0.124804
395.508,0.103626
400.391,0.0930287
405.273,0.0952807
410.156,0.0890275
415.039,0.0750721
419.922,0.0684345
424.805,0.0687083
429.688,0.0612684
434.57,0.0530249
439.453,0.0495949
444.336,0.0476659
449.219,0.0454759
454.102,0.0350821
458.984,0.0319634
463.867,0.0313817
468.75,0.0290645
473.633,0.0358705
478.516,0.0312889
483.398,0.0294808
488.281,0.0278284
493.164,0.0360518
498.047,0.0459388
502.93,0.0307063
507.813,0.040779
512.695,0.0491892
517.578,0.0399362
522.461,0.0501252
527.344,0.0389276
532.227,0.0310078
537.109,0.0514469
541.992,0.0471083
546.875,0.0480921
551.758,0.0562665
556.641,0.0490959
561.523,0.0451121
566.406,0.0528527
571.289,0.0519016
576.172,0.0444183
581.055,0.0500442
585.938,0.0538853
590.82,0.0532302
595.703,0.0572947
600.586,0.0561289
605.469,0.0498825
610.352,0.0513753
615.234,0.056194
620.117,0.0500179
625,0.0477843
629.883,0.0549729
634.766,0.0477263
639.648,0.0397666
644.531,0.0475678
649.414,0.05151
654.297,0.0525246
659.18,0.0495776
664.063,0.0405396
668.945,0.0443514
673.828,0.0514221
678.711,0.0450983
683.594,0.0421738
688.477,0.0481221
693.359,0.0484912
698.242,0.0437648
703.125,0.039555
708.008,0.0424216
712.891,0.0409855
717.773,0.0281047
722.656,0.0300581
727.539,0.0379939
732.422,0.0282036
737.305,0.0313433
742.188,0.0443065
747.07,0.0352167
751.953,0.0263872
756.836,0.0290073
761.719,0.0194934
766.602,0.0276991
771.484,0.0332362
776.367,0.0256958
781.25,0.0289253
786.133,0.0334446
791.016,0.0299652
795.898,0.0256885
800.781,0.0261834
805.664,0.0289176
810.547,0.0310378
815.43,0.0284732
820.313,0.0240309
825.195,0.0226567
830.078,0.0242096
834.961,0.0277017
839.844,0.0201167
844.727,0.0258016
849.609,0.0353189
854.492,0.0215627
859.375,0.0252185
864.258,0.0340125
869.141,0.0249039
874.023,0.0287942
878.906,0.0267689
883.789,0.0152297
888.672,0.0201996
893.555,0.0236503
898.438,0.0214912
903.32,0.0164125
908.203,0.0244652
913.086,0.0239559
917.969,0.0165092
922.852,0.0280376
927.734,0.0257567
932.617,0.014597
937.5,0.0206869
942.383,0.0250765
947.266,0.02646
952.148,0.0197708
957.031,0.0156994
961.914,0.0262776
966.797,0.0274349
971.68,0.0224738
976.563,0.0250444
981.445,0.0263483
986.328,0.0210945
991.211,0.0207074
996.094,0.0242499
1000.98,0.0281785
1005.86,0.028644
1010.74,0.0195433
1015.63,0.0223227
1020.51,0.0309274
1025.39,0.0265219
1030.27,0.0206978
1035.16,0.0215891
1040.04,0.0223563
1044.92,0.0223119
1049.8,0.0226699
1054.69,0.0221542
1059.57,0.0196272
1064.45,0.0268897
1069.34,0.0314268
1074.22,0.0237296
1079.1,0.0206321
1083.98,0.0249167
1088.87,0.0244731
1093.75,0.0220082
1098.63,0.0204991
1103.52,0.0249894
1108.4,0.0276153
1113.28,0.0252239
1118.16,0.0226183
1123.05,0.0228236
1127.93,0.0268958
1132.81,0.0243506
1137.7,0.0212499
1142.58,0.0256171
1147.46,0.0200702
1152.34,0.019258
1157.23,0.0290396
1162.11,0.027913
1166.99,0.0212893
1171.88,0.0156088
1176.76,0.0160005
1181.64,0.020992
1186.52,0.0174605
1191.41,0.0124583
1196.29,0.0185298
1201.17,0.020751
1206.05,0.0148581
1210.94,0.0141562
1215.82,0.0206268
1220.7,0.0185409
1225.59,0.0115111
1230.47,0.0150506
1235.35,0.0183369
1240.23,0.0158554
1245.12,0.0166926
1250,0.019317
