Line,Lineset\CTK Side Line 1 (E-W)-ch2
Time (ns),Average Amplitude (mV)
-8,0.111873
-7.6,0.114819
-7.2,0.118657
-6.8,0.127476
-6.4,0.178157
-6,0.308374
-5.6,0.466489
-5.2,0.664498
-4.8,0.904565
-4.4,1.19575
-4,1.47069
-3.6,1.36424
-3.2,0.452216
-2.8,1.03164
-2.4,2.28982
-2,3.88407
-1.6,4.67275
-1.2,5.888
-0.8,6.96061
-0.4,7.17551
0,3.81749
0.4,4.84542
0.8,11.5118
1.2,15.8722
1.6,16.295
2,12.3944
2.4,6.13195
2.8,2.69032
3.2,6.48313
3.6,10.6967
4,12.9164
4.4,12.8357
4.8,10.5908
5.2,6.69855
5.6,2.35104
6,2.4883
6.4,4.97081
6.8,6.2529
7.2,6.30319
7.6,5.31319
8,3.75459
8.4,2.02752
8.8,0.608471
9.2,0.766763
9.6,1.36099
10,1.4653
10.4,1.25706
10.8,0.924463
11.2,0.609966
11.6,0.413471
12,0.308048
12.4,0.259333
12.8,0.220157
13.2,0.208707
13.6,0.221303
14,0.228326
14.4,0.211826
14.8,0.176489
15.2,0.154312
15.6,0.151225
16,0.153977
16.4,0.143784
16.8,0.142033
17.2,0.132638
17.6,0.140537
18,0.132336
18.4,0.131405
18.8,0.129145
19.2,0.130522
19.6,0.131075
20,0.127027
20.4,0.129131
20.8,0.127116
21.2,0.127384
21.6,0.122884
22,0.124786
22.4,0.12348
22.8,0.125361
23.2,0.11942
23.6,0.120066
24,0.122374
24.4,0.120925
24.8,0.121776
25.2,0.123184
25.6,0.118765
26,0.117577
26.4,0.117281
26.8,0.114098
27.2,0.117445
27.6,0.119657
28,0.119344
28.4,0.122091
28.8,0.118243
29.2,0.117937
29.6,0.117367
30,0.119562
30.4,0.116761
30.8,0.11797
31.2,0.117608
31.6,0.115706
32,0.118671
32.4,0.121922
32.8,0.118808
33.2,0.115316
33.6,0.116815
34,0.119805
34.4,0.117201
34.8,0.122351
35.2,0.117048
35.6,0.121772
36,0.115005
36.4,0.123563
36.8,0.123343
37.2,0.12261
37.6,0.114601
38,0.11914
38.4,0.11683
38.8,0.115188
39.2,0.114486
39.6,0.114939
40,0.1114
40.4,0.116862
40.8,0.114592
41.2,0.12106
41.6,0.116822
42,0.115873
42.4,0.120587
42.8,0.116777
43.2,0.117139
43.6,0.121032
44,0.118263
44.4,0.121922
44.8,0.114982
45.2,0.114833
45.6,0.116365
46,0.119318
46.4,0.113999
46.8,0.11411
47.2,0.118802
47.6,0.116957
48,0.117885
48.4,0.12201
48.8,0.12115
49.2,0.122774
49.6,0.113482
50,0.115888
50.4,0.11838
50.8,0.118594
51.2,0.118646
51.6,0.119198
52,0.119774
52.4,0.115435
52.8,0.11685
53.2,0.120685
53.6,0.117453
54,0.11482
54.4,0.116437
54.8,0.116297
55.2,0.123095
55.6,0.121149
56,0.114687
56.4,0.11995
56.8,0.117052
57.2,0.115044
57.6,0.118426
58,0.121684
58.4,0.119859
58.8,0.11872
59.2,0.117314
59.6,0.119144
60,0.118896
60.4,0.115842
60.8,0.118205
61.2,0.121829
61.6,0.123837
62,0.119716
62.4,0.117311
62.8,0.1187
63.2,0.11748
63.6,0.11591
64,0.12038
64.4,0.114822
64.8,0.117829
65.2,0.118839
65.6,0.116304
66,0.115771
66.4,0.118246
66.8,0.118681
67.2,0.119533
67.6,0.120872
68,0.120173
68.4,0.120582
68.8,0.121334
69.2,0.117164
69.6,0.122945
70,0.119995
70.4,0.117309
70.8,0.116523
71.2,0.117007
71.6,0.118326
