Line,Lineset\Center Line 1 (E-W)-ch2
Time (ns),Average Amplitude (mV)
-8,0.114851
-7.6,0.121877
-7.2,0.116094
-6.8,0.124423
-6.4,0.165007
-6,0.268923
-5.6,0.402439
-5.2,0.593729
-4.8,0.836725
-4.4,1.16297
-4,1.49789
-3.6,1.466
-3.2,0.528963
-2.8,0.795013
-2.4,1.92822
-2,3.47157
-1.6,4.34437
-1.2,5.74676
-0.8,7.10185
-0.4,7.81271
0,4.71769
0.4,3.82276
0.8,10.589
1.2,15.4352
1.6,16.4806
2,13.2553
2.4,7.42092
2.8,2.59822
3.2,5.64687
3.6,10.383
4,13.0585
4.4,13.0533
4.8,10.5429
5.2,6.46825
5.6,2.37694
6,2.19199
6.4,4.1945
6.8,5.17219
7.2,5.36103
7.6,5.0566
8,4.14705
8.4,2.88753
8.8,1.51066
9.2,0.474725
9.6,0.807884
10,1.31253
10.4,1.46742
10.8,1.39899
11.2,1.14785
11.6,0.781006
12,0.431183
12.4,0.268204
12.8,0.263948
13.2,0.295701
13.6,0.29975
14,0.277333
14.4,0.259805
14.8,0.21137
15.2,0.179245
15.6,0.149159
16,0.154078
16.4,0.153092
16.8,0.155892
17.2,0.151544
17.6,0.145935
18,0.137893
18.4,0.13127
18.8,0.12897
19.2,0.127529
19.6,0.133383
20,0.131615
20.4,0.128098
20.8,0.129943
21.2,0.127304
21.6,0.127123
22,0.128221
22.4,0.120132
22.8,0.119339
23.2,0.116877
23.6,0.121777
24,0.122619
24.4,0.123366
24.8,0.125796
25.2,0.12727
25.6,0.117337
26,0.123647
26.4,0.117913
26.8,0.120454
27.2,0.121504
27.6,0.119906
28,0.116737
28.4,0.118987
28.8,0.115043
29.2,0.114962
29.6,0.115152
30,0.116238
30.4,0.120866
30.8,0.11558
31.2,0.113296
31.6,0.121134
32,0.113008
32.4,0.121602
32.8,0.114565
33.2,0.116191
33.6,0.118528
34,0.116291
34.4,0.121335
34.8,0.117295
35.2,0.115955
35.6,0.118614
36,0.116985
36.4,0.117354
36.8,0.11561
37.2,0.114219
37.6,0.117121
38,0.113376
38.4,0.118464
38.8,0.1194
39.2,0.119627
39.6,0.12079
40,0.118754
40.4,0.115613
40.8,0.119493
41.2,0.11635
41.6,0.1214
42,0.118227
42.4,0.120787
42.8,0.117266
43.2,0.116555
43.6,0.115545
44,0.119931
44.4,0.115372
44.8,0.116515
45.2,0.118155
45.6,0.116037
46,0.116153
46.4,0.116166
46.8,0.120005
47.2,0.115795
47.6,0.114387
48,0.117382
48.4,0.115778
48.8,0.120653
49.2,0.115587
49.6,0.1157
50,0.115633
50.4,0.116693
50.8,0.117211
51.2,0.118211
51.6,0.115085
52,0.119737
52.4,0.119353
52.8,0.118925
53.2,0.121017
53.6,0.117833
54,0.118055
54.4,0.116353
54.8,0.119358
55.2,0.118188
55.6,0.12032
56,0.118161
56.4,0.114545
56.8,0.117722
57.2,0.115106
57.6,0.116925
58,0.118963
58.4,0.117542
58.8,0.114912
59.2,0.119441
59.6,0.116473
60,0.118811
60.4,0.118784
60.8,0.119171
61.2,0.114861
61.6,0.116489
62,0.11995
62.4,0.115238
62.8,0.119742
63.2,0.116385
63.6,0.119163
64,0.117554
64.4,0.120907
64.8,0.117059
65.2,0.116471
65.6,0.113745
66,0.110411
66.4,0.120384
66.8,0.116017
67.2,0.122464
67.6,0.116519
68,0.117667
68.4,0.115775
68.8,0.11924
69.2,0.11627
69.6,0.118851
70,0.115537
70.4,0.119196
70.8,0.119177
71.2,0.119669
71.6,0.113922
