Line,Lineset\South (CTK Side) Line 2-ch2
Time (ns),Average Amplitude (mV)
0,17.0557
0.4,17.1941
0.8,14.104
1.2,8.48295
1.6,1.59886
2,4.0768
2.4,8.88852
2.8,11.9715
3.2,13.5708
3.6,12.5919
4,10.2987
4.4,5.70987
4.8,0.839477
5.2,3.46131
5.6,5.98679
6,6.89936
6.4,6.33978
6.8,5.03955
7.2,3.6397
7.6,1.98312
8,0.46766
8.4,0.277718
8.8,1.08508
9.2,1.81919
9.6,1.32174
10,1.13696
10.4,0.739057
10.8,0.62919
11.2,0.379374
11.6,0.0901023
12,0.430529
12.4,0.471293
12.8,0.546499
13.2,0.462719
13.6,0.150413
14,0.0481756
14.4,0.395578
14.8,0.30969
15.2,0.550641
15.6,0.479795
16,0.302279
16.4,0.106524
16.8,0.0159132
17.2,0.0860331
17.6,0.178969
18,0.414979
18.4,0.0786215
18.8,0.32088
19.2,0.337157
19.6,0.0772409
20,0.136389
20.4,0.035169
20.8,0.000290655
21.2,0.0217263
21.6,0.128832
22,0.187398
22.4,0.150703
22.8,0.225038
23.2,0.15034
23.6,0.147942
24,0.0270307
24.4,0.155136
24.8,0.0760783
25.2,0.0385115
25.6,0.0492656
26,0.139295
26.4,0.0900296
26.8,0.0283386
27.2,0.253885
27.6,0.0266674
28,0.020055
28.4,0.112192
28.8,0.0284113
29.2,0.068594
29.6,0.00595838
30,0.111683
30.4,0.154046
30.8,0.040546
31.2,0.067504
31.6,0.047013
32,0.0442518
32.4,0.127451
32.8,0.143873
33.2,0.0155499
33.6,0.000799291
34,0.0420719
34.4,0.0295739
34.8,0.082836
35.2,0.0442518
35.6,0.106161
36,0.150267
36.4,0.013588
36.8,0.15252
37.2,0.0579852
37.6,0.139731
38,0.0890123
38.4,0.0523174
38.8,0.0687393
39.2,0.127887
39.6,0.0204183
40,0.0846525
40.4,0.075715
40.8,0.0658328
41.2,0.0457778
41.6,0.159132
42,0.0143873
42.4,0.103981
42.8,0.155063
43.2,0.0710645
43.6,0.102964
44,0.1034
44.4,0.089521
44.8,0.0689573
45.2,0.0904656
45.6,0.0910469
46,0.0462137
46.4,0.162475
46.8,0.0309545
47.2,0.303587
47.6,0.0183111
48,0.12716
48.4,0.193429
48.8,0.0652515
49.2,0.190377
49.6,0.261878
50,0.184056
50.4,0.0154772
50.8,0.0172938
51.2,0.132102
51.6,0.14707
52,0.0429439
52.4,0.0620543
52.8,0.0318991
53.2,0.0597291
53.6,0.125562
54,0.0179478
54.4,0.0457778
54.8,0.212031
55.2,0.101438
55.6,0.0245601
56,0.122292
56.4,0.258608
56.8,0.0423626
57.2,0.107759
57.6,0.0597291
58,0.026958
58.4,0.205782
58.8,0.0900296
59.2,0.0542793
59.6,0.168578
60,0.116479
60.4,0.0229615
60.8,0.0337157
61.2,0.243131
61.6,0.0248508
62,0.0733898
62.4,0.127015
62.8,0.191758
63.2,0.314341
63.6,0.0562413
64,0.0223802
64.4,0.0542793
64.8,0.0731718
65.2,0.0460684
65.6,0.0654695
66,0.153392
66.4,0.0102455
66.8,0.0765869
67.2,0.0656875
67.6,0.114372
68,0.00290652
68.4,0.0384388
68.8,0.148378
69.2,0.181222
69.6,0.0111175
70,0.16945
70.4,0.232449
70.8,0.00777495
71.2,0.0228889
71.6,0.0372762
72,0.0569679
72.4,0.0523901
72.8,0.0377122
73.2,0.00632169
73.6,0.105216
74,0.133046
74.4,0.0443972
74.8,0.0143873
75.2,0.127378
75.6,0.0853065
76,0.0672933
76.4,0.108903
76.8,0.0548485
77.2,0.0823102
77.6,0.143723
78,0.28016
78.4,0.126434
78.8,0.122896
79.2,0.107196
79.6,0.0554882
