"Trace Number","Position","Number of points per trace","Elevation data","Total odometer ticks","# bytes/point","Time Sampling Interval (ps)","# of stacks","GPS X Position","GPS Y Position","GPS Z Position","Receiver X Position","Receiver Y Position","Receiver Z Position","Transmitter X Position","Transmitter Y Position","Transmitter Z Position","Timezero adjustment","Zero Trace Flag","Time of Day","Comment flag","Comments","RX_YAW (degrees)","RX_PITCH (degrees)","RX_ROLL (degrees)","TX_YAW (degrees)","TX_PITCH (degrees)","TX_ROLL (degrees)",
1,0.000,200,1760.552,0,4,400.000,4,-105.2210909,39.7515549,1760.5520000,0.000,0.000,0.000,0.000,0.000,0.000,21.000,"0x0",310.8729248046875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
2,0.100,200,1760.558,108,4,400.000,4,-105.2210927,39.7515540,1760.5580000,0.000,0.100,0.000,0.000,0.100,0.000,21.000,"0x0",312.89837646484375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
3,0.200,200,1760.554,216,4,400.000,4,-105.2210927,39.7515541,1760.5540000,0.000,0.200,0.000,0.000,0.200,0.000,21.000,"0x0",313.39785766601562,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
4,0.300,200,1760.546,324,4,400.000,4,-105.2210936,39.7515537,1760.5460000,0.000,0.300,0.000,0.000,0.300,0.000,21.000,"0x0",317.2889404296875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
5,0.400,200,1760.552,432,4,400.000,4,-105.2210945,39.7515532,1760.5515000,0.000,0.400,0.000,0.000,0.400,0.000,21.000,"0x0",317.56475830078125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
6,0.500,200,1760.557,540,4,400.000,4,-105.2210951,39.7515529,1760.5570000,0.000,0.500,0.000,0.000,0.500,0.000,21.000,"0x0",317.8748779296875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
7,0.600,200,1760.560,648,4,400.000,4,-105.2210957,39.7515526,1760.5600000,0.000,0.600,0.000,0.000,0.600,0.000,21.000,"0x0",318.147705078125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
8,0.700,200,1760.563,756,4,400.000,4,-105.2210963,39.7515522,1760.5630000,0.000,0.700,0.000,0.000,0.700,0.000,21.000,"0x0",318.38009643554687,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
9,0.800,200,1760.566,864,4,400.000,4,-105.2210969,39.7515519,1760.5660000,0.000,0.800,0.000,0.000,0.800,0.000,21.000,"0x0",318.59774780273437,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
10,0.900,200,1760.569,972,4,400.000,4,-105.2210974,39.7515516,1760.5690000,0.000,0.900,0.000,0.000,0.900,0.000,21.000,"0x0",318.80316162109375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
11,1.000,200,1760.572,1080,4,400.000,4,-105.2210981,39.7515513,1760.5720000,0.000,1.000,0.000,0.000,1.000,0.000,21.000,"0x0",318.99029541015625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
12,1.100,200,1760.574,1188,4,400.000,4,-105.2210987,39.7515509,1760.5745000,0.000,1.100,0.000,0.000,1.100,0.000,21.000,"0x0",319.15634155273437,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
13,1.200,200,1760.577,1296,4,400.000,4,-105.2210993,39.7515506,1760.5770000,0.000,1.200,0.000,0.000,1.200,0.000,21.000,"0x0",319.30307006835937,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
14,1.300,200,1760.579,1404,4,400.000,4,-105.2210999,39.7515503,1760.5795000,0.000,1.300,0.000,0.000,1.300,0.000,21.000,"0x0",319.43655395507812,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
15,1.400,200,1760.582,1512,4,400.000,4,-105.2211005,39.7515500,1760.5820000,0.000,1.400,0.000,0.000,1.400,0.000,21.000,"0x0",319.5606689453125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
16,1.500,200,1760.584,1620,4,400.000,4,-105.2211011,39.7515497,1760.5845000,0.000,1.500,0.000,0.000,1.500,0.000,21.000,"0x0",319.679931640625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
17,1.600,200,1760.587,1728,4,400.000,4,-105.2211017,39.7515494,1760.5870000,0.000,1.600,0.000,0.000,1.600,0.000,21.000,"0x0",319.79833984375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
18,1.700,200,1760.589,1836,4,400.000,4,-105.2211023,39.7515491,1760.5895000,0.000,1.700,0.000,0.000,1.700,0.000,21.000,"0x0",319.91744995117187,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
19,1.800,200,1760.592,1944,4,400.000,4,-105.2211030,39.7515487,1760.5920000,0.000,1.800,0.000,0.000,1.800,0.000,21.000,"0x0",320.02719116210937,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
20,1.900,200,1760.597,2052,4,400.000,4,-105.2211037,39.7515483,1760.5970000,0.000,1.900,0.000,0.000,1.900,0.000,21.000,"0x0",320.13357543945312,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
21,2.000,200,1760.602,2160,4,400.000,4,-105.2211044,39.7515480,1760.6020000,0.000,2.000,0.000,0.000,2.000,0.000,21.000,"0x0",320.2723388671875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
22,2.100,200,1760.607,2268,4,400.000,4,-105.2211051,39.7515476,1760.6070000,0.000,2.100,0.000,0.000,2.100,0.000,21.000,"0x0",320.41729736328125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
23,2.200,200,1760.612,2376,4,400.000,4,-105.2211057,39.7515472,1760.6120000,0.000,2.200,0.000,0.000,2.200,0.000,21.000,"0x0",320.54983520507812,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
24,2.300,200,1760.617,2484,4,400.000,4,-105.2211064,39.7515468,1760.6170000,0.000,2.300,0.000,0.000,2.300,0.000,21.000,"0x0",320.67288208007812,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
25,2.400,200,1760.622,2592,4,400.000,4,-105.2211071,39.7515464,1760.6220000,0.000,2.400,0.000,0.000,2.400,0.000,21.000,"0x0",320.79730224609375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
26,2.500,200,1760.627,2700,4,400.000,4,-105.2211078,39.7515461,1760.6270000,0.000,2.500,0.000,0.000,2.500,0.000,21.000,"0x0",320.9107666015625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
27,2.600,200,1760.632,2808,4,400.000,4,-105.2211086,39.7515457,1760.6320000,0.000,2.600,0.000,0.000,2.600,0.000,21.000,"0x0",321.02200317382812,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
28,2.700,200,1760.634,2916,4,400.000,4,-105.2211093,39.7515453,1760.6338571,0.000,2.700,0.000,0.000,2.700,0.000,21.000,"0x0",321.1417236328125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
29,2.800,200,1760.636,3024,4,400.000,4,-105.2211101,39.7515449,1760.6357143,0.000,2.800,0.000,0.000,2.800,0.000,21.000,"0x0",321.26239013671875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
30,2.900,200,1760.638,3132,4,400.000,4,-105.2211108,39.7515445,1760.6375714,0.000,2.900,0.000,0.000,2.900,0.000,21.000,"0x0",321.39544677734375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
