"Trace Number","Position","Number of points per trace","Elevation data","Total odometer ticks","# bytes/point","Time Sampling Interval (ps)","# of stacks","GPS X Position","GPS Y Position","GPS Z Position","Receiver X Position","Receiver Y Position","Receiver Z Position","Transmitter X Position","Transmitter Y Position","Transmitter Z Position","Timezero adjustment","Zero Trace Flag","Time of Day","Comment flag","Comments","RX_YAW (degrees)","RX_PITCH (degrees)","RX_ROLL (degrees)","TX_YAW (degrees)","TX_PITCH (degrees)","TX_ROLL (degrees)",
1,0.000,200,1760.574,0,4,400.000,4,-105.2211078,39.7515571,1760.5740000,0.000,0.000,0.000,0.000,0.000,0.000,21.000,"0x0",603.9036865234375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
2,0.100,200,1760.576,108,4,400.000,4,-105.2211085,39.7515568,1760.5764286,0.000,0.100,0.000,0.000,0.100,0.000,21.000,"0x0",604.09100341796875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
3,0.200,200,1760.579,216,4,400.000,4,-105.2211091,39.7515565,1760.5788571,0.000,0.200,0.000,0.000,0.200,0.000,21.000,"0x0",604.26422119140625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
4,0.300,200,1760.581,324,4,400.000,4,-105.2211098,39.7515561,1760.5812857,0.000,0.300,0.000,0.000,0.300,0.000,21.000,"0x0",604.4144287109375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
5,0.400,200,1760.584,432,4,400.000,4,-105.2211104,39.7515558,1760.5837143,0.000,0.400,0.000,0.000,0.400,0.000,21.000,"0x0",604.5543212890625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
6,0.500,200,1760.586,540,4,400.000,4,-105.2211111,39.7515555,1760.5861429,0.000,0.500,0.000,0.000,0.500,0.000,21.000,"0x0",604.69720458984375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
7,0.600,200,1760.589,648,4,400.000,4,-105.2211117,39.7515552,1760.5885714,0.000,0.600,0.000,0.000,0.600,0.000,21.000,"0x0",604.8338623046875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
8,0.700,200,1760.591,756,4,400.000,4,-105.2211123,39.7515548,1760.5910000,0.000,0.700,0.000,0.000,0.700,0.000,21.000,"0x0",604.96453857421875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
9,0.800,200,1760.595,864,4,400.000,4,-105.2211129,39.7515545,1760.5951429,0.000,0.800,0.000,0.000,0.800,0.000,21.000,"0x0",605.09747314453125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
10,0.900,200,1760.599,972,4,400.000,4,-105.2211135,39.7515541,1760.5992857,0.000,0.900,0.000,0.000,0.900,0.000,21.000,"0x0",605.22833251953125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
11,1.000,200,1760.603,1080,4,400.000,4,-105.2211141,39.7515538,1760.6034286,0.000,1.000,0.000,0.000,1.000,0.000,21.000,"0x0",605.3797607421875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
12,1.100,200,1760.608,1188,4,400.000,4,-105.2211148,39.7515535,1760.6075714,0.000,1.100,0.000,0.000,1.100,0.000,21.000,"0x0",605.548583984375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
13,1.200,200,1760.612,1296,4,400.000,4,-105.2211154,39.7515531,1760.6117143,0.000,1.200,0.000,0.000,1.200,0.000,21.000,"0x0",605.72601318359375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
14,1.300,200,1760.616,1404,4,400.000,4,-105.2211160,39.7515528,1760.6158571,0.000,1.300,0.000,0.000,1.300,0.000,21.000,"0x0",605.88922119140625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
15,1.400,200,1760.620,1512,4,400.000,4,-105.2211166,39.7515524,1760.6200000,0.000,1.400,0.000,0.000,1.400,0.000,21.000,"0x0",606.025146484375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
16,1.500,200,1760.619,1620,4,400.000,4,-105.2211173,39.7515521,1760.6191111,0.000,1.500,0.000,0.000,1.500,0.000,21.000,"0x0",606.1517333984375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
17,1.600,200,1760.618,1728,4,400.000,4,-105.2211179,39.7515518,1760.6182222,0.000,1.600,0.000,0.000,1.600,0.000,21.000,"0x0",606.26873779296875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
18,1.700,200,1760.617,1836,4,400.000,4,-105.2211185,39.7515514,1760.6173333,0.000,1.700,0.000,0.000,1.700,0.000,21.000,"0x0",606.37646484375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
19,1.800,200,1760.616,1944,4,400.000,4,-105.2211192,39.7515511,1760.6164444,0.000,1.800,0.000,0.000,1.800,0.000,21.000,"0x0",606.4901123046875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
20,1.900,200,1760.616,2052,4,400.000,4,-105.2211198,39.7515508,1760.6155556,0.000,1.900,0.000,0.000,1.900,0.000,21.000,"0x0",606.59454345703125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
21,2.000,200,1760.615,2160,4,400.000,4,-105.2211205,39.7515505,1760.6146667,0.000,2.000,0.000,0.000,2.000,0.000,21.000,"0x0",606.70001220703125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
22,2.100,200,1760.614,2268,4,400.000,4,-105.2211211,39.7515501,1760.6137778,0.000,2.100,0.000,0.000,2.100,0.000,21.000,"0x0",606.80316162109375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
23,2.200,200,1760.613,2376,4,400.000,4,-105.2211217,39.7515498,1760.6128889,0.000,2.200,0.000,0.000,2.200,0.000,21.000,"0x0",606.91552734375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
24,2.300,200,1760.612,2484,4,400.000,4,-105.2211225,39.7515494,1760.6120000,0.000,2.300,0.000,0.000,2.300,0.000,21.000,"0x0",607.01727294921875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
25,2.400,200,1760.615,2592,4,400.000,4,-105.2211232,39.7515491,1760.6148889,0.000,2.400,0.000,0.000,2.400,0.000,21.000,"0x0",607.11968994140625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
