"Trace Number","Position","Number of points per trace","Elevation data","Total odometer ticks","# bytes/point","Time Sampling Interval (ps)","# of stacks","GPS X Position","GPS Y Position","GPS Z Position","Receiver X Position","Receiver Y Position","Receiver Z Position","Transmitter X Position","Transmitter Y Position","Transmitter Z Position","Timezero adjustment","Zero Trace Flag","Time of Day","Comment flag","Comments","RX_YAW (degrees)","RX_PITCH (degrees)","RX_ROLL (degrees)","TX_YAW (degrees)","TX_PITCH (degrees)","TX_ROLL (degrees)",
1,0.000,200,1760.496,0,4,400.000,4,-105.2210991,39.7515621,1760.4960000,0.000,0.000,0.000,0.000,0.000,0.000,21.000,"0x0",3138.258056640625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
2,0.100,200,1760.491,108,4,400.000,4,-105.2210998,39.7515617,1760.4910000,0.000,0.100,0.000,0.000,0.100,0.000,21.000,"0x0",3143.662841796875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
3,0.200,200,1760.496,216,4,400.000,4,-105.2211004,39.7515614,1760.4960000,0.000,0.200,0.000,0.000,0.200,0.000,21.000,"0x0",3143.853271484375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
4,0.300,200,1760.501,324,4,400.000,4,-105.2211011,39.7515610,1760.5010000,0.000,0.300,0.000,0.000,0.300,0.000,21.000,"0x0",3144.012939453125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
5,0.400,200,1760.506,432,4,400.000,4,-105.2211017,39.7515606,1760.5060000,0.000,0.400,0.000,0.000,0.400,0.000,21.000,"0x0",3144.14501953125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
6,0.500,200,1760.510,540,4,400.000,4,-105.2211023,39.7515602,1760.5101111,0.000,0.500,0.000,0.000,0.500,0.000,21.000,"0x0",3144.2685546875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
7,0.600,200,1760.514,648,4,400.000,4,-105.2211029,39.7515598,1760.5142222,0.000,0.600,0.000,0.000,0.600,0.000,21.000,"0x0",3144.37451171875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
8,0.700,200,1760.518,756,4,400.000,4,-105.2211035,39.7515594,1760.5183333,0.000,0.700,0.000,0.000,0.700,0.000,21.000,"0x0",3144.47998046875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
9,0.800,200,1760.522,864,4,400.000,4,-105.2211041,39.7515591,1760.5224444,0.000,0.800,0.000,0.000,0.800,0.000,21.000,"0x0",3144.590087890625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
10,0.900,200,1760.527,972,4,400.000,4,-105.2211047,39.7515587,1760.5265556,0.000,0.900,0.000,0.000,0.900,0.000,21.000,"0x0",3144.696533203125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
