Line,Lineset\South (CTK Side) Line 1 (E-W)-ch2
Frequency (MHz),Average Amplitude (mV)
0,4.95583e-005
0.305176,3.83213e-005
0.610352,4.76172e-005
0.915527,4.88261e-005
1.2207,3.50097e-005
1.52588,4.97099e-005
1.83105,4.14533e-005
2.13623,4.57347e-005
2.44141,4.88267e-005
2.74658,3.18862e-005
3.05176,5.07798e-005
3.35693,4.60373e-005
3.66211,4.06011e-005
3.96729,4.69386e-005
4.27246,3.12692e-005
4.57764,5.31635e-005
4.88281,4.88219e-005
5.18799,3.77345e-005
5.49316,4.62734e-005
5.79834,3.43192e-005
6.10352,5.03999e-005
6.40869,4.97937e-005
6.71387,3.27566e-005
7.01904,3.91409e-005
7.32422,3.16584e-005
7.62939,5.7579e-005
7.93457,5.50137e-005
8.23975,2.8175e-005
8.54492,4.68358e-005
8.8501,3.87743e-005
9.15527,5.30299e-005
9.46045,5.98277e-005
9.76563,3.67182e-005
10.0708,3.913e-005
10.376,4.50507e-005
10.6812,5.5042e-005
10.9863,6.82833e-005
11.2915,6.06754e-005
11.5967,4.26155e-005
11.9019,3.62565e-005
12.207,6.44444e-005
12.5122,8.37765e-005
12.8174,7.643e-005
13.1226,3.09176e-005
13.4277,3.72005e-005
13.7329,5.90026e-005
14.0381,7.14871e-005
14.3433,8.44653e-005
14.6484,6.77044e-005
14.9536,6.73735e-005
15.2588,0.000106521
15.564,0.000104709
15.8691,8.26969e-005
16.1743,6.34734e-005
16.4795,7.71002e-005
16.7847,0.000106571
17.0898,0.000100253
17.395,9.12041e-005
17.7002,7.8676e-005
18.0054,6.26087e-005
18.3105,0.000100062
18.6157,0.000141358
18.9209,0.000116286
19.2261,6.53709e-005
19.5313,8.68088e-005
19.8364,8.85205e-005
20.1416,9.48664e-005
20.4468,0.000105327
20.752,9.81862e-005
21.0571,9.45842e-005
21.3623,0.000139474
21.6675,0.000133119
21.9727,0.000125126
22.2778,0.00014011
22.583,0.000135786
22.8882,0.000119859
23.1934,0.000125623
23.4985,0.000124029
23.8037,0.00012278
24.1089,0.000116921
24.4141,9.67794e-005
24.7192,9.61281e-005
25.0244,9.63807e-005
25.3296,8.68729e-005
25.6348,0.000114965
25.9399,0.000121841
26.2451,0.000147159
26.5503,0.000188507
26.8555,0.000178259
27.1606,0.000177035
27.4658,0.000185549
27.771,0.000141988
28.0762,0.000142758
28.3813,0.000130949
28.6865,0.000196766
28.9917,0.000172817
29.2969,9.08951e-005
29.6021,0.000156986
29.9072,0.000235131
30.2124,0.000320188
30.5176,0.000335731
30.8228,0.000219986
31.1279,0.000201499
31.4331,0.000196062
31.7383,0.000162236
32.0435,0.000234288
32.3486,0.000231902
32.6538,0.000166342
32.959,0.00020489
33.2642,0.000193224
33.5693,0.000114001
33.8745,0.000118379
34.1797,0.000182199
34.4849,0.000219068
34.79,0.000237637
35.0952,0.000277551
35.4004,0.000283646
35.7056,0.000187772
36.0107,0.000188246
36.3159,0.000253787
36.6211,0.000317381
36.9263,0.000248589
37.2314,0.000149017
37.5366,0.000142437
37.8418,0.000196775
38.147,0.0002772
38.4521,0.00026133
38.7573,0.000247712
39.0625,0.000333081
39.3677,0.00035571
39.6729,0.000268391
39.978,0.000213961
40.2832,0.000217333
40.5884,0.000276223
40.8936,0.000282351
41.1987,0.000329784
41.5039,0.000459436
41.8091,0.000506987
42.1143,0.000442724
42.4194,0.000325116
42.7246,0.000299671
43.0298,0.000412721
43.335,0.000332584
43.6401,0.000262531
43.9453,0.000264285
