Line,Lineset\South (CTK Side) Line 1 (E-W)-ch2
Time (ns),Average Amplitude (mV)
-648.024,0.070581
-647.624,0.127211
-647.224,0.0875646
-646.824,0.0704978
-646.424,0.0496434
-646.024,0.0657102
-645.624,0.113385
-645.224,0.0488805
-644.824,0.0540338
-644.424,0.0914945
-644.024,0.100856
-643.624,0.0377994
-643.224,0.108602
-642.824,0.116813
-642.424,0.11754
-642.024,0.115157
-641.624,0.105797
-641.224,0.0661961
-640.824,0.06903
-640.424,0.164233
-640.024,0.157156
-639.624,0.0914829
-639.224,0.165643
-638.824,0.0595547
-638.424,0.116813
-638.024,0.13075
-637.624,0.175481
-637.224,0.139193
-636.824,0.0679836
-636.424,0.091323
-636.024,0.108181
-635.624,0.121435
-635.224,0.158842
-634.824,0.114197
-634.424,0.103647
-634.024,0.0670971
-633.624,0.176542
-633.224,0.0592931
-632.824,0.134732
-632.424,0.112948
-632.024,0.0829958
-631.624,0.100508
-631.224,0.171325
-630.824,0.0423335
-630.424,0.0914683
-630.024,0.0713552
-629.624,0.10555
-629.224,0.0662688
-628.824,0.119386
-628.424,0.0759766
-628.024,0.0842602
-627.624,0.127669
-627.224,0.0747122
-626.824,0.0668646
-626.424,0.0917735
-626.024,0.101554
-625.624,0.101583
-625.224,0.0790139
-624.824,0.119633
-624.424,0.0653677
-624.024,0.139034
-623.624,0.110739
-623.224,0.125635
-622.824,0.0497306
-622.424,0.112032
-622.024,0.201698
-621.624,0.135793
-621.224,0.0564447
-620.824,0.131913
-620.424,0.0765724
-620.024,0.127887
-619.624,0.0959444
-619.224,0.0733171
-618.824,0.0763544
-618.424,0.127422
-618.024,0.131593
-617.624,0.0722853
-617.224,0.103138
-616.824,0.0895064
-616.424,0.104984
-616.024,0.0707303
-615.624,0.0844345
-615.224,0.0614439
-614.824,0.0974848
-614.424,0.0945783
-614.024,0.154177
-613.624,0.117671
-613.224,0.129369
-612.824,0.114285
-612.424,0.124559
-612.024,0.0652515
-611.624,0.0815716
-611.224,0.107948
-610.824,0.101496
-610.424,0.172706
-610.024,0.121406
-609.624,0.0743489
-609.224,0.0909306
-608.824,0.102615
-608.424,0.0446152
-608.024,0.0856698
-607.624,0.057898
-607.224,0.103385
-606.824,0.0809758
-606.424,0.0596128
-606.024,0.0593658
-605.624,0.102731
-605.224,0.133715
-604.824,0.0597145
-604.424,0.116959
-604.024,0.0996066
-603.624,0.0811647
-603.224,0.0222059
-602.824,0.145079
-602.424,0.0518233
-602.024,0.132058
-601.624,0.229557
-601.224,0.0885909
-600.824,0.0974848
-600.424,0.0941423
-600.024,0.0853501
-599.624,0.0961769
-599.224,0.0437868
-598.824,0.0945928
-598.424,0.104025
-598.024,0.141984
-597.624,0.128134
-597.224,0.109881
-596.824,0.0996647
-596.424,0.0743053
-596.024,0.123658
-595.624,0.0745233
-595.224,0.0571859
-594.824,0.0851466
-594.424,0.0421591
-594.024,0.100188
-593.624,0.0892158
-593.224,0.100711
-592.824,0.0572876
-592.424,0.130677
-592.024,0.0974558
-591.624,0.153479
-591.224,0.0993159
-590.824,0.155659
-590.424,0.100726
-590.024,0.112366
-589.624,0.0659926
-589.224,0.102789
-588.824,0.0477251
-588.424,0.0960025
-588.024,0.0375087
-587.624,0.110826
-587.224,0.067693
-586.824,0.107294
-586.424,0.105681
-586.024,0.0328292
-585.624,0.1446
-585.224,0.125809
-584.824,0.161661
-584.424,0.0614439
-584.024,0.102615
-583.624,0.106001
-583.224,0.0907562
-582.824,0.0680853
-582.424,0.0768921
-582.024,0.0429148
-581.624,0.173781
-581.224,0.0789848
-580.824,0.153116
-580.424,0.0881549
-580.024,0.136912
-579.624,0.061008
-579.224,0.0628391
-578.824,0.0939098
-578.424,0.0833591
-578.024,0.143829
-577.624,0.0439467
-577.224,0.0592931
-576.824,0.0732735
-576.424,0.0907272
-576.024,0.0874137
-575.624,0.0394997
-575.224,0.0919915
-574.824,0.0620688
-574.424,0.0604266
-574.024,0.123542
-573.624,0.0698874
-573.224,0.094651
-572.824,0.0756423
-572.424,0.13293
-572.024,0.105972
-571.624,0.13014
-571.224,0.0430311
-570.824,0.0794789
-570.424,0.0911922
-570.024,0.09064
-569.624,0.0874137
-569.224,0.0825017
-568.824,0.0758894
-568.424,0.0589443
-568.024,0.134994
-567.624,0.110274
-567.224,0.0801184
-566.824,0.104097
-566.424,0.11382
-566.024,0.100508
-565.624,0.130576
-565.224,0.101627
-564.824,0.0184855
-564.424,0.1034
-564.024,0.0798132
-563.624,0.199896
-563.224,0.13059
-562.824,0.136723
-562.424,0.0906545
-562.024,0.111363
-561.624,0.114212
-561.224,0.188474
-560.824,0.12312
