"","TRACE",1,2,3,4,5
"","Position (m)",0,0.10000000000000001,0.20000000000000001,0.30000000000000004,0.40000000000000002
"Point","Time (ns)"
1,-648.024,70,64,-25,75,-133
2,-647.62400000000002,145,-152,-23,-75,-3
3,-647.22400000000005,21,36,-111,-81,-39
4,-646.82400000000007,-16,-38,-59,157,-8
5,-646.42399999999998,30,-5,46,20,-51
6,-646.024,113,-46,-38,97,-41
7,-645.62400000000002,-129,75,-6,86,-124
8,-645.22400000000005,6,-35,-92,75,-51
9,-644.82400000000007,60,67,6,70,38
10,-644.42399999999998,-14,35,20,233,14
11,-644.024,87,-110,26,-75,7
12,-643.62400000000002,-21,16,18,50,42
13,-643.22400000000005,-113,17,-86,146,44
14,-642.82400000000007,137,67,124,114,14
15,-642.42399999999998,41,37,-132,113,103
16,-642.024,-208,-125,11,93,-2
17,-641.62400000000002,103,55,-98,95,-10
18,-641.22400000000005,-5,-17,87,137,51
19,-640.82400000000007,82,-27,70,-22,15
20,-640.42399999999998,-23,-55,-96,-158,173
21,-640.024,115,-105,128,-122,-43
22,-639.62400000000002,-38,28,107,45,112
23,-639.22400000000005,-198,50,207,49,-71
24,-638.82400000000007,37,33,18,-9,-92
25,-638.42399999999998,81,-108,-109,-4,-82
26,-638.024,-102,-152,-8,-127,-60
27,-637.62400000000002,128,83,148,146,68
28,-637.22400000000005,-126,-28,-88,133,-76
29,-636.82400000000007,13,14,-85,11,-70
30,-636.42399999999998,117,41,-99,-7,13
31,-636.024,-42,-120,86,-47,44
32,-635.62400000000002,18,56,101,-51,-191
33,-635.22400000000005,-217,-30,-124,-88,-94
34,-634.82400000000007,150,-42,75,-3,70
35,-634.42399999999998,36,16,-104,62,133
36,-634.024,18,27,-48,-118,-47
37,-633.62400000000002,136,173,63,-79,-134
38,-633.22400000000005,-95,4,-84,26,-9
39,-632.82400000000007,19,-64,117,-99,132
40,-632.42399999999998,60,63,-118,79,-60
41,-632.024,53,24,-32,116,20
42,-631.62400000000002,-47,65,-73,101,-59
43,-631.22400000000005,-92,-23,-135,-128,182
44,-630.82400000000007,-26,-7,2,81,-8
45,-630.42399999999998,-71,-47,-91,-30,-69
46,-630.024,73,43,40,-29,21
47,-629.62400000000002,-90,24,79,-81,-81
48,-629.22400000000005,28,-36,6,-88,30
49,-628.82400000000007,-51,18,181,56,93
50,-628.42399999999998,64,-35,-25,35,-112
51,-628.024,5,-121,110,6,-39
52,-627.62400000000002,58,105,82,15,-162
53,-627.22400000000005,-33,-30,-86,80,18
54,-626.82400000000007,-78,13,36,-115,-15
55,-626.42399999999998,-109,-10,-10,155,-23
56,-626.024,-1,-96,-93,94,-17
57,-625.62400000000002,90,68,-56,23,33
58,-625.22400000000005,50,-43,-26,-68,26
59,-624.82400000000007,133,65,86,59,57
60,-624.42399999999998,-46,54,13,-90,-41
61,-624.024,-101,-5,180,-97,109
62,-623.62400000000002,-60,-73,229,-2,31
63,-623.22400000000005,-152,-94,-89,-36,-33
64,-622.82400000000007,27,-30,10,3,46
65,-622.42399999999998,-43,47,-117,-40,-123
66,-622.024,98,69,329,67,-112
67,-621.62400000000002,113,-46,-69,90,-47
68,-621.22400000000005,-100,3,-47,-32,7
69,-620.82400000000007,-26,176,11,-260,7
70,-620.42399999999998,-54,52,105,74,10
