Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
base station,,,481043.533,4400178.993,1743.944,,-105.22127674,39.75130938,1743.944,Local,,,,,,,m,,,,,,,,,,,,,,,,WGS 84 / UTM zone 13N,,,,,,,
test,,,481045.420,4400226.171,1742.223,,-105.22125608,39.75173449,1742.223,Global,1.2,0.012,0.012,0.016,0.017,1.934,m,FIX,RTK,2025-10-02 15:15:32.8 UTC-06:00,2025-10-02 15:15:32.8 UTC-06:00,1,1.6,1.9,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,47.280,,WGS 84 / UTM zone 13N,7,5,6,5,0,Reach RS3,82437308B6C6AD5B
test1,,,481045.435,4400226.133,1742.011,,-105.22125590,39.75173416,1742.011,Global,0.1,0.012,0.012,0.016,0.017,2.134,m,FIX,RTK,2025-10-02 15:16:40.8 UTC-06:00,2025-10-02 15:16:45.8 UTC-06:00,26,1.6,1.9,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,47.225,,WGS 84 / UTM zone 13N,7,5,7,5,0,Reach RS3,82437308B6C6AD5B
10,,,481062.148,4400227.918,1741.850,,-105.22106086,39.75175061,1741.850,Global,0.6,0.013,0.013,0.018,0.018,2.134,m,FIX,RTK,2025-10-02 15:19:26.4 UTC-06:00,2025-10-02 15:19:31.4 UTC-06:00,26,2.4,3.0,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,52.414,,WGS 84 / UTM zone 13N,7,6,8,5,0,Reach RS3,82437308B6C6AD5B
8,,,481060.462,4400226.777,1741.934,,-105.22108050,39.75174029,1741.934,Global,0.2,0.012,0.012,0.016,0.017,2.134,m,FIX,RTK,2025-10-02 15:20:07.6 UTC-06:00,2025-10-02 15:20:12.6 UTC-06:00,26,1.6,1.9,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,50.744,,WGS 84 / UTM zone 13N,7,6,6,5,0,Reach RS3,82437308B6C6AD5B
7,,,481059.697,4400226.236,1741.949,,-105.22108943,39.75173540,1741.949,Global,0.6,0.013,0.013,0.025,0.019,2.134,m,FIX,RTK,2025-10-02 15:20:56.4 UTC-06:00,2025-10-02 15:21:01.4 UTC-06:00,26,1.7,2.0,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,49.998,,WGS 84 / UTM zone 13N,7,5,7,5,0,Reach RS3,82437308B6C6AD5B
6,,,481058.845,4400225.551,1741.801,,-105.22109934,39.75172921,1741.801,Global,0.0,0.012,0.013,0.029,0.018,2.134,m,FIX,RTK,2025-10-02 15:21:28.4 UTC-06:00,2025-10-02 15:21:33.4 UTC-06:00,26,2.6,3.3,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,49.069,,WGS 84 / UTM zone 13N,7,5,7,5,0,Reach RS3,82437308B6C6AD5B
5,,,481058.056,4400224.995,1741.930,,-105.22110854,39.75172418,1741.930,Global,0.0,0.012,0.012,0.020,0.017,2.134,m,FIX,RTK,2025-10-02 15:22:01.0 UTC-06:00,2025-10-02 15:22:06.0 UTC-06:00,26,1.6,1.9,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,48.289,,WGS 84 / UTM zone 13N,7,5,7,5,0,Reach RS3,82437308B6C6AD5B
4,,,481057.267,4400224.383,1741.990,,-105.22111773,39.75171865,1741.990,Global,0.3,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 15:22:37.8 UTC-06:00,2025-10-02 15:22:42.8 UTC-06:00,26,1.6,1.9,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,47.475,,WGS 84 / UTM zone 13N,6,5,7,5,0,Reach RS3,82437308B6C6AD5B
3,,,481056.428,4400223.789,1741.966,,-105.22112751,39.75171328,1741.966,Global,0.3,0.012,0.012,0.028,0.017,2.134,m,FIX,RTK,2025-10-02 15:23:09.0 UTC-06:00,2025-10-02 15:23:14.0 UTC-06:00,26,2.0,2.5,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,46.670,,WGS 84 / UTM zone 13N,7,5,7,5,0,Reach RS3,82437308B6C6AD5B
2,,,481055.632,4400223.217,1741.970,,-105.22113679,39.75170810,1741.970,Global,0.3,0.012,0.012,0.020,0.017,2.134,m,FIX,RTK,2025-10-02 15:24:06.2 UTC-06:00,2025-10-02 15:24:11.2 UTC-06:00,26,2.0,2.5,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,45.905,,WGS 84 / UTM zone 13N,7,6,5,5,0,Reach RS3,82437308B6C6AD5B
1.5,,,481055.231,4400222.934,1742.016,,-105.22114146,39.75170555,1742.016,Global,0.5,0.012,0.012,0.017,0.017,2.134,m,FIX,RTK,2025-10-02 15:24:51.2 UTC-06:00,2025-10-02 15:24:56.2 UTC-06:00,26,2.0,2.5,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,45.530,,WGS 84 / UTM zone 13N,7,5,6,5,0,Reach RS3,82437308B6C6AD5B
1,,,481054.750,4400222.727,1742.011,,-105.22114706,39.75170367,1742.011,Global,0.3,0.012,0.012,0.017,0.017,2.134,m,FIX,RTK,2025-10-02 15:25:24.6 UTC-06:00,2025-10-02 15:25:29.6 UTC-06:00,26,2.2,2.7,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,45.203,,WGS 84 / UTM zone 13N,7,5,6,5,0,Reach RS3,82437308B6C6AD5B
0.75,,,481054.617,4400222.522,1742.034,,-105.22114861,39.75170183,1742.034,Global,0.3,0.012,0.012,0.015,0.018,2.134,m,FIX,RTK,2025-10-02 15:26:11.2 UTC-06:00,2025-10-02 15:26:16.2 UTC-06:00,26,2.1,2.7,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,44.973,,WGS 84 / UTM zone 13N,7,5,6,5,0,Reach RS3,82437308B6C6AD5B
0.5,,,481054.418,4400222.358,1742.016,,-105.22115093,39.75170034,1742.016,Global,0.3,0.012,0.012,0.016,0.017,2.134,m,FIX,RTK,2025-10-02 15:26:37.0 UTC-06:00,2025-10-02 15:26:42.0 UTC-06:00,26,2.1,2.7,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,44.764,,WGS 84 / UTM zone 13N,7,5,6,5,0,Reach RS3,82437308B6C6AD5B
