Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
Base Station,,,481043.533,4400178.993,1743.944,,-105.22127674,39.75130938,1743.944,Local,,,,,,,m,,,,,,,,,,,,,,,,WGS 84 / UTM zone 13N,,,,,,,
refernce station 1,,,481048.835,4400235.437,1741.779,,-105.22121647,39.75181806,1741.779,Global,0.1,0.013,0.012,0.012,0.018,2.134,m,FIX,RTK,2025-10-02 14:00:49.4 UTC-06:00,2025-10-02 14:01:19.4 UTC-06:00,151,1.2,1.5,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,56.744,,WGS 84 / UTM zone 13N,7,7,8,5,0,Reach RS3,82437308B6C6AD5B
refernce station 2,,,481051.539,4400232.332,1741.806,,-105.22118482,39.75179014,1741.806,Global,0.1,0.012,0.012,0.012,0.017,2.134,m,FIX,RTK,2025-10-02 14:03:41.6 UTC-06:00,2025-10-02 14:04:11.6 UTC-06:00,151,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,53.986,,WGS 84 / UTM zone 13N,8,8,8,5,0,Reach RS3,82437308B6C6AD5B
refernce station 3,,,481053.108,4400227.669,1741.907,,-105.22116638,39.75174817,1741.907,Global,0.2,0.012,0.012,0.012,0.017,2.134,m,FIX,RTK,2025-10-02 14:06:22.2 UTC-06:00,2025-10-02 14:06:52.2 UTC-06:00,151,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,49.659,,WGS 84 / UTM zone 13N,8,7,8,5,0,Reach RS3,82437308B6C6AD5B
refernce station 4,,,481050.123,4400223.708,1742.090,,-105.22120111,39.75171241,1742.090,Global,0.2,0.012,0.012,0.016,0.018,2.134,m,FIX,RTK,2025-10-02 14:08:34.2 UTC-06:00,2025-10-02 14:09:04.2 UTC-06:00,151,1.2,1.5,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,45.247,,WGS 84 / UTM zone 13N,7,8,8,5,0,Reach RS3,82437308B6C6AD5B
refernce station 5,,,481043.609,4400232.339,1741.876,,-105.22127739,39.75179003,1741.876,Global,0.1,0.012,0.012,0.013,0.017,2.134,m,FIX,RTK,2025-10-02 14:10:47.2 UTC-06:00,2025-10-02 14:11:17.2 UTC-06:00,151,1.3,1.5,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,53.400,,WGS 84 / UTM zone 13N,9,8,8,5,0,Reach RS3,82437308B6C6AD5B
group 1 9 m,,,481050.482,4400242.440,1741.589,starts on side towards hill hall,-105.22119745,39.75188120,1741.589,Global,0.1,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:15:43.0 UTC-06:00,2025-10-02 14:15:48.0 UTC-06:00,26,1.2,1.5,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,63.886,,WGS 84 / UTM zone 13N,7,8,8,5,0,Reach RS3,82437308B6C6AD5B
group 1 8m,,,481049.672,4400241.854,1741.619,,-105.22120689,39.75187590,1741.619,Global,0.1,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:16:25.2 UTC-06:00,2025-10-02 14:16:30.2 UTC-06:00,26,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,63.216,,WGS 84 / UTM zone 13N,8,8,8,5,0,Reach RS3,82437308B6C6AD5B
group 1 7m,,,481048.865,4400241.257,1741.634,,-105.22121630,39.75187050,1741.634,Global,0.3,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:17:31.4 UTC-06:00,2025-10-02 14:17:36.4 UTC-06:00,26,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,62.564,,WGS 84 / UTM zone 13N,8,7,8,5,0,Reach RS3,82437308B6C6AD5B
group 1 6m,,,481048.091,4400240.649,1741.651,,-105.22122532,39.75186500,1741.651,Global,0.2,0.012,0.012,0.012,0.017,2.134,m,FIX,RTK,2025-10-02 14:18:11.6 UTC-06:00,2025-10-02 14:18:16.6 UTC-06:00,26,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,61.883,,WGS 84 / UTM zone 13N,8,7,8,5,0,Reach RS3,82437308B6C6AD5B
