MST (Seconds),Reading (nT),Date (MM/DD/YY)
50037.0,47270.5,11/20/25
50077.0,49106.8,11/20/25
50100.0,49427.0,11/20/25
50105.0,49254.2,11/20/25
50110.0,49598.8,11/20/25
50115.0,51508.6,11/20/25
50120.0,49246.2,11/20/25
50125.0,51732.0,11/20/25
50130.0,48090.0,11/20/25
50135.0,49923.5,11/20/25
50140.0,51524.5,11/20/25
50145.0,50103.1,11/20/25
50150.0,49629.7,11/20/25
50155.0,49546.3,11/20/25
50160.0,49199.4,11/20/25
50165.0,49605.3,11/20/25
50170.0,50778.5,11/20/25
50175.0,50187.5,11/20/25
50180.0,51171.2,11/20/25
50185.0,48687.4,11/20/25
50190.0,50293.6,11/20/25
50195.0,50325.0,11/20/25
50200.0,49913.2,11/20/25
50205.0,49303.0,11/20/25
50210.0,50617.0,11/20/25
50215.0,50458.5,11/20/25
50220.0,47492.6,11/20/25
50225.0,50619.6,11/20/25
50230.0,49635.7,11/20/25
50235.0,50283.4,11/20/25
50240.0,50263.0,11/20/25
50245.0,50262.6,11/20/25
50250.0,50266.8,11/20/25
50255.0,50271.2,11/20/25
50260.0,50263.8,11/20/25
50265.0,50262.9,11/20/25
50270.0,50266.3,11/20/25
50275.0,50266.5,11/20/25
50280.0,50266.3,11/20/25
50285.0,50266.2,11/20/25
50290.0,50266.2,11/20/25
50295.0,50266.5,11/20/25
50300.0,50266.4,11/20/25
50305.0,50266.6,11/20/25
50310.0,50266.7,11/20/25
50315.0,50266.5,11/20/25
50320.0,50266.6,11/20/25
50325.0,50266.7,11/20/25
50330.0,50266.6,11/20/25
50335.0,50266.7,11/20/25
50340.0,50266.4,11/20/25
50345.0,50266.4,11/20/25
50350.0,50266.2,11/20/25
50355.0,50266.3,11/20/25
50360.0,50266.1,11/20/25
50365.0,50266.2,11/20/25
50370.0,50266.3,11/20/25
50375.0,50266.3,11/20/25
50380.0,50266.6,11/20/25
50385.0,50266.5,11/20/25
50390.0,50266.4,11/20/25
50395.0,50266.2,11/20/25
50400.0,50266.4,11/20/25
50405.0,50266.4,11/20/25
50410.0,50266.6,11/20/25
50415.0,50266.7,11/20/25
50420.0,50266.3,11/20/25
50425.0,50266.1,11/20/25
50430.0,50265.9,11/20/25
50435.0,50266.1,11/20/25
50440.0,50266.3,11/20/25
50445.0,50266.3,11/20/25
50450.0,50266.5,11/20/25
50455.0,50266.4,11/20/25
50460.0,50266.6,11/20/25
50465.0,50266.5,11/20/25
50470.0,50266.6,11/20/25
50475.0,50266.6,11/20/25
50480.0,50266.7,11/20/25
50485.0,50266.4,11/20/25
50490.0,50266.7,11/20/25
50495.0,50266.8,11/20/25
50500.0,50266.6,11/20/25
50505.0,50266.5,11/20/25
50510.0,50266.6,11/20/25
50515.0,50266.8,11/20/25
50520.0,50266.6,11/20/25
50525.0,50266.5,11/20/25
50530.0,50266.5,11/20/25
50535.0,50266.5,11/20/25
50540.0,50266.7,11/20/25
50545.0,50266.3,11/20/25
50550.0,50266.5,11/20/25
50555.0,50266.3,11/20/25
50560.0,50266.4,11/20/25
50565.0,50266.6,11/20/25
50570.0,50266.6,11/20/25
50575.0,50266.7,11/20/25
50580.0,50266.5,11/20/25
50585.0,50266.5,11/20/25
50590.0,50266.6,11/20/25
50595.0,50266.7,11/20/25
50600.0,50266.5,11/20/25
50605.0,50266.4,11/20/25
50610.0,50266.4,11/20/25
50615.0,50266.8,11/20/25
50620.0,50266.7,11/20/25
50625.0,50267.1,11/20/25
50630.0,50267.0,11/20/25
50635.0,50267.0,11/20/25
50640.0,50267.2,11/20/25
50645.0,50267.6,11/20/25
50650.0,50267.3,11/20/25
50655.0,50267.1,11/20/25
50660.0,50267.1,11/20/25
50665.0,50267.1,11/20/25
50670.0,50267.0,11/20/25
50675.0,50267.1,11/20/25
50680.0,50267.0,11/20/25
50685.0,50267.2,11/20/25
50690.0,50267.3,11/20/25
50695.0,50267.3,11/20/25
50700.0,50267.1,11/20/25
50705.0,50267.3,11/20/25
50710.0,50267.1,11/20/25
50715.0,50267.3,11/20/25
50720.0,50267.3,11/20/25
50725.0,50267.0,11/20/25
50730.0,50267.0,11/20/25
50735.0,50266.9,11/20/25
50740.0,50266.6,11/20/25
50745.0,50267.0,11/20/25
50750.0,50267.3,11/20/25
50755.0,50267.3,11/20/25
50760.0,50267.3,11/20/25
50765.0,50267.4,11/20/25
50770.0,50267.5,11/20/25
50775.0,50267.4,11/20/25
50780.0,50267.7,11/20/25
50785.0,50267.5,11/20/25
50790.0,50267.9,11/20/25
50795.0,50267.8,11/20/25
50800.0,50267.8,11/20/25
50805.0,50267.7,11/20/25
50810.0,50268.1,11/20/25
50815.0,50267.7,11/20/25
50820.0,50267.4,11/20/25
50825.0,50267.6,11/20/25
50830.0,50267.7,11/20/25
50835.0,50267.8,11/20/25
50840.0,50267.8,11/20/25
50845.0,50267.9,11/20/25
50850.0,50267.7,11/20/25
50855.0,50268.0,11/20/25
50860.0,50268.0,11/20/25
50865.0,50267.7,11/20/25
50870.0,50268.1,11/20/25
50875.0,50267.8,11/20/25
50880.0,50267.7,11/20/25
50885.0,50268.1,11/20/25
50890.0,50268.1,11/20/25
50895.0,50268.7,11/20/25
50900.0,50268.2,11/20/25
50905.0,50268.3,11/20/25
50910.0,50268.3,11/20/25
50915.0,50268.2,11/20/25
50920.0,50268.1,11/20/25
50925.0,50268.0,11/20/25
50930.0,50268.0,11/20/25
50935.0,50267.8,11/20/25
50940.0,50267.9,11/20/25
50945.0,50268.0,11/20/25
50950.0,50267.6,11/20/25
50955.0,50267.6,11/20/25
50960.0,50267.7,11/20/25
50965.0,50267.9,11/20/25
50970.0,50267.7,11/20/25
50975.0,50267.9,11/20/25
50980.0,50268.3,11/20/25
50985.0,50268.3,11/20/25
50990.0,50268.1,11/20/25
50995.0,50268.5,11/20/25
51000.0,50268.2,11/20/25
51005.0,50268.5,11/20/25
51010.0,50268.6,11/20/25
51015.0,50268.7,11/20/25
51020.0,50268.7,11/20/25
51025.0,50269.1,11/20/25
51030.0,50269.0,11/20/25
51035.0,50269.1,11/20/25
51040.0,50269.1,11/20/25
51045.0,50268.9,11/20/25
51050.0,50269.1,11/20/25
51055.0,50268.8,11/20/25
51060.0,50268.6,11/20/25
51065.0,50268.7,11/20/25
51070.0,50268.5,11/20/25
51075.0,50268.4,11/20/25
51080.0,50268.2,11/20/25
51085.0,50268.4,11/20/25
51090.0,50268.2,11/20/25
51095.0,50267.9,11/20/25
51100.0,50268.3,11/20/25
51105.0,50267.8,11/20/25
51110.0,50267.6,11/20/25
51115.0,50268.0,11/20/25
51120.0,50267.8,11/20/25
51125.0,50267.6,11/20/25
51130.0,50267.8,11/20/25
51135.0,50268.1,11/20/25
51140.0,50268.1,11/20/25
51145.0,50268.1,11/20/25
51150.0,50267.5,11/20/25
51155.0,50267.2,11/20/25
51160.0,50267.5,11/20/25
51165.0,50267.8,11/20/25
51170.0,50268.1,11/20/25
51175.0,50267.9,11/20/25
51180.0,50268.0,11/20/25
51185.0,50267.9,11/20/25
51190.0,50268.1,11/20/25
51195.0,50268.0,11/20/25
51200.0,50268.0,11/20/25
51205.0,50268.0,11/20/25
51210.0,50267.8,11/20/25
51215.0,50267.8,11/20/25
51220.0,50268.1,11/20/25
51225.0,50268.0,11/20/25
51230.0,50267.9,11/20/25
51235.0,50268.0,11/20/25
51240.0,50267.8,11/20/25
51245.0,50267.8,11/20/25
51250.0,50268.0,11/20/25
51255.0,50267.2,11/20/25
51260.0,50267.7,11/20/25
51265.0,50267.8,11/20/25
51270.0,50267.9,11/20/25
51275.0,50267.9,11/20/25
51280.0,50267.7,11/20/25
51285.0,50267.7,11/20/25
51290.0,50267.9,11/20/25
51295.0,50268.0,11/20/25
51300.0,50268.2,11/20/25
51305.0,50268.3,11/20/25
51310.0,50268.3,11/20/25
51315.0,50268.3,11/20/25
51320.0,50268.3,11/20/25
51325.0,50268.3,11/20/25
51330.0,50268.2,11/20/25
51335.0,50268.2,11/20/25
51340.0,50268.2,11/20/25
51345.0,50268.2,11/20/25
51350.0,50268.3,11/20/25
51355.0,50268.6,11/20/25
51360.0,50268.1,11/20/25
51365.0,50268.2,11/20/25
51370.0,50268.4,11/20/25
51375.0,50268.4,11/20/25
51380.0,50268.5,11/20/25
51385.0,50268.4,11/20/25
51390.0,50268.1,11/20/25
51395.0,50268.4,11/20/25
51400.0,50268.3,11/20/25
51405.0,50268.4,11/20/25
51410.0,50268.4,11/20/25
51415.0,50268.3,11/20/25
51420.0,50268.5,11/20/25
51425.0,50268.4,11/20/25
51430.0,50268.1,11/20/25
51435.0,50267.8,11/20/25
51440.0,50267.9,11/20/25
51445.0,50268.0,11/20/25
51450.0,50267.9,11/20/25
51455.0,50268.2,11/20/25
51460.0,50268.2,11/20/25
51465.0,50268.3,11/20/25
51470.0,50268.3,11/20/25
51475.0,50268.4,11/20/25
51480.0,50268.3,11/20/25
51485.0,50268.2,11/20/25
51490.0,50268.1,11/20/25
51495.0,50268.2,11/20/25
51500.0,50268.0,11/20/25
51505.0,50268.0,11/20/25
51510.0,50267.9,11/20/25
51515.0,50268.0,11/20/25
51520.0,50267.8,11/20/25
51525.0,50267.5,11/20/25
51530.0,50267.6,11/20/25
51535.0,50267.8,11/20/25
51540.0,50267.7,11/20/25
51545.0,50267.7,11/20/25
51550.0,50267.7,11/20/25
51555.0,50267.8,11/20/25
51560.0,50267.6,11/20/25
51565.0,50267.6,11/20/25
51570.0,50267.5,11/20/25
51575.0,50267.4,11/20/25
51580.0,50267.2,11/20/25
51585.0,50267.1,11/20/25
51590.0,50267.0,11/20/25
51595.0,50267.0,11/20/25
51600.0,50267.1,11/20/25
51605.0,50267.1,11/20/25
51610.0,50266.9,11/20/25
51615.0,50267.1,11/20/25
51620.0,50267.2,11/20/25
51625.0,50267.1,11/20/25
51630.0,50267.1,11/20/25
51635.0,50266.8,11/20/25
51640.0,50266.6,11/20/25
51645.0,50266.6,11/20/25
51650.0,50266.3,11/20/25
51655.0,50266.2,11/20/25
51660.0,50266.3,11/20/25
51665.0,50266.3,11/20/25
51670.0,50266.3,11/20/25
51675.0,50266.5,11/20/25
51680.0,50266.5,11/20/25
51685.0,50266.3,11/20/25
51690.0,50266.5,11/20/25
51695.0,50266.4,11/20/25
