Date (MM/DD/YYYY),Time (HH:MM:SS.S MST),MST (Sec),Latitude (Deg N),Longitude (Deg E),Mag (nT),Easting (m),Northing (m),UTM Zone
11/20/2025,15:28:35.0,55715.0,39.75127,-105.2215053,50194.7300927969,481023.94179353863,4400174.671385236,13S
11/20/2025,15:28:35.1,55715.1,39.75127003,-105.2215053,50191.82386715157,481023.9418017698,4400174.674714806,13S
11/20/2025,15:28:35.2,55715.2,39.75127007,-105.2215052,50192.44609186368,481023.9503796166,4400174.67913305,13S
11/20/2025,15:28:35.3,55715.3,39.7512701,-105.2215052,50192.181655676766,481023.9503878478,4400174.682462619,13S
11/20/2025,15:28:35.4,55715.4,39.75127013,-105.2215051,50192.37507857775,481023.9589629508,4400174.685771008,13S
11/20/2025,15:28:35.5,55715.5,39.75127016,-105.2215051,50192.37412229144,481023.958971182,4400174.689100575,13S
11/20/2025,15:28:35.6,55715.6,39.7512702,-105.2215051,50192.481504273564,481023.9589821569,4400174.693539999,13S
11/20/2025,15:28:35.7,55715.7,39.75127023,-105.221505,50192.51274813623,481023.96755726205,4400174.69684839,13S
11/20/2025,15:28:35.8,55715.8,39.75127026,-105.221505,50192.56400096353,481023.96756549325,4400174.700177955,13S
11/20/2025,15:28:35.9,55715.9,39.7512703,-105.2215049,50192.58016478856,481023.9761433378,4400174.704596202,13S
11/20/2025,15:28:36.0,55716.0,39.75127033,-105.2215049,50192.56001220032,481023.976151569,4400174.707925769,13S
11/20/2025,15:28:36.1,55716.1,39.75127036,-105.2215049,50192.56365641505,481023.97615980014,4400174.711255336,13S
11/20/2025,15:28:36.2,55716.2,39.75127039,-105.2215049,50192.62292586109,481023.9761680313,4400174.714584906,13S
11/20/2025,15:28:36.3,55716.3,39.75127042,-105.2215049,50192.689771572135,481023.9761762625,4400174.717914473,13S
11/20/2025,15:28:36.4,55716.4,39.75127045,-105.2215049,50192.81256308243,481023.97618449363,4400174.721244042,13S
11/20/2025,15:28:36.5,55716.5,39.75127048,-105.2215049,50192.94331441233,481023.97619272483,4400174.72457361,13S
11/20/2025,15:28:36.6,55716.6,39.75127051,-105.2215049,50193.10226221616,481023.976200956,4400174.727903178,13S
11/20/2025,15:28:36.7,55716.7,39.75127054,-105.2215049,50193.1667722486,481023.9762091871,4400174.7312327465,13S
11/20/2025,15:28:36.8,55716.8,39.75127057,-105.2215049,50193.32268042093,481023.9762174183,4400174.734562313,13S
11/20/2025,15:28:36.9,55716.9,39.7512706,-105.2215049,50193.43987009872,481023.9762256495,4400174.737891882,13S
11/20/2025,15:28:37.0,55717.0,39.75127063,-105.2215049,50193.99156831292,481023.9762338806,4400174.741221449,13S
11/20/2025,15:28:37.1,55717.1,39.75127078,-105.2215051,50195.39177119459,481023.95914129296,4400174.757911646,13S
11/20/2025,15:28:37.2,55717.2,39.75127093,-105.2215052,50198.07278681657,481023.95061557705,4400174.774580663,13S
11/20/2025,15:28:37.3,55717.3,39.75127108,-105.2215054,50203.05766026607,481023.93352298945,4400174.791270861,13S
11/20/2025,15:28:37.4,55717.4,39.75127123,-105.2215056,50209.81165890174,481023.91643040197,4400174.807961058,13S
11/20/2025,15:28:37.5,55717.5,39.75127138,-105.2215057,50218.87190232545,481023.90790468623,4400174.824630075,13S
11/20/2025,15:28:37.6,55717.6,39.75127152,-105.2215059,50229.7104391283,481023.8908093551,4400174.840210417,13S
11/20/2025,15:28:37.7,55717.7,39.75127167,-105.2215061,50243.05234561487,481023.8737167678,4400174.856900615,13S
11/20/2025,15:28:37.8,55717.8,39.75127182,-105.2215062,50256.78925550677,481023.8651910522,4400174.873569631,13S
11/20/2025,15:28:37.9,55717.9,39.75127197,-105.2215064,50271.80971284028,481023.848098465,4400174.890259828,13S
11/20/2025,15:28:38.0,55718.0,39.75127212,-105.2215066,50285.88956375109,481023.83100587793,4400174.906950028,13S
11/20/2025,15:28:38.1,55718.1,39.75127294,-105.2215071,50299.38636285252,481023.7883965052,4400174.99806411,13S
11/20/2025,15:28:38.2,55718.2,39.75127376,-105.2215076,50311.66315689011,481023.74578713346,4400175.089178193,13S
11/20/2025,15:28:38.3,55718.3,39.75127458,-105.2215082,50323.49973269377,481023.69461089367,4400175.180313457,13S
11/20/2025,15:28:38.4,55718.4,39.7512754,-105.2215087,50336.34673724848,481023.65200152626,4400175.271427541,13S
11/20/2025,15:28:38.5,55718.5,39.75127622,-105.2215092,50349.27305920719,481023.6093921577,4400175.362541625,13S
11/20/2025,15:28:38.6,55718.6,39.75127705,-105.2215097,50363.09128673724,481023.56678553397,4400175.454765567,13S
11/20/2025,15:28:38.7,55718.7,39.75127787,-105.2215103,50377.48220143847,481023.5156092987,4400175.545900831,13S
11/20/2025,15:28:38.8,55718.8,39.75127869,-105.2215108,50391.88132885143,481023.4729999355,4400175.637014918,13S
11/20/2025,15:28:38.9,55718.9,39.75127951,-105.2215113,50405.37757093357,481023.4303905711,4400175.728129004,13S
11/20/2025,15:28:39.0,55719.0,39.75128033,-105.2215118,50419.25180032196,481023.38778120995,4400175.81924309,13S
11/20/2025,15:28:39.1,55719.1,39.7512812,-105.2215124,50433.32041102136,481023.3366186962,4400175.9159276355,13S
11/20/2025,15:28:39.2,55719.2,39.75128207,-105.2215129,50443.90928084729,481023.29402305634,4400176.012591002,13S
11/20/2025,15:28:39.3,55719.3,39.75128294,-105.2215134,50453.152386965776,481023.25142741535,4400176.109254369,13S
11/20/2025,15:28:39.4,55719.4,39.75128381,-105.2215139,50461.023029885975,481023.2088317776,4400176.205917735,13S
11/20/2025,15:28:39.5,55719.5,39.75128468,-105.2215145,50465.860973902265,481023.1576692688,4400176.302602283,13S
11/20/2025,15:28:39.6,55719.6,39.75128555,-105.221515,50470.34345559853,481023.11507363326,4400176.399265649,13S
11/20/2025,15:28:39.7,55719.7,39.75128642,-105.2215155,50471.95942110392,481023.0724779989,4400176.495929018,13S
11/20/2025,15:28:39.8,55719.8,39.75128729,-105.221516,50471.72710244216,481023.02988236566,4400176.592592386,13S
11/20/2025,15:28:39.9,55719.9,39.75128816,-105.2215166,50467.94317899356,481022.97871985944,4400176.689276935,13S
11/20/2025,15:28:40.0,55720.0,39.75128903,-105.2215171,50461.4275534183,481022.9361242284,4400176.785940303,13S
11/20/2025,15:28:40.1,55720.1,39.75129005,-105.2215178,50452.40638880078,481022.8764360179,4400176.899293871,13S
11/20/2025,15:28:40.2,55720.2,39.75129106,-105.2215186,50442.79278528488,481022.80817819387,4400177.011558763,13S
11/20/2025,15:28:40.3,55720.3,39.75129208,-105.2215193,50431.60316697798,481022.74848998484,4400177.124912332,13S
11/20/2025,15:28:40.4,55720.4,39.7512931,-105.2215201,50421.12949814781,481022.68023491075,4400177.238287081,13S
11/20/2025,15:28:40.5,55720.5,39.75129412,-105.2215208,50411.26388465534,481022.6205467076,4400177.351640653,13S
11/20/2025,15:28:40.6,55720.6,39.75129513,-105.2215216,50401.364054000725,481022.5522888892,4400177.463905547,13S
11/20/2025,15:28:40.7,55720.7,39.75129615,-105.2215223,50394.816979409785,481022.49260068964,4400177.57725912,13S
11/20/2025,15:28:40.8,55720.8,39.75129717,-105.2215231,50388.23748443303,481022.4243456234,4400177.690633871,13S
11/20/2025,15:28:40.9,55720.9,39.75129818,-105.2215238,50380.588842933634,481022.3646546793,4400177.802877585,13S
11/20/2025,15:28:41.0,55721.0,39.7512992,-105.2215246,50372.87514151748,481022.296399617,4400177.91625234,13S
11/20/2025,15:28:41.1,55721.1,39.75129998,-105.2215252,50366.23749312994,481022.2452124375,4400178.002948189,13S
11/20/2025,15:28:41.2,55721.2,39.75130076,-105.2215258,50362.60821286551,481022.1940252571,4400178.089644039,13S
11/20/2025,15:28:41.3,55721.3,39.75130154,-105.2215265,50359.43845882001,481022.1342712098,4400178.17636107,13S
11/20/2025,15:28:41.4,55721.4,39.75130232,-105.2215271,50357.42309209338,481022.083084034,4400178.263056921,13S
11/20/2025,15:28:41.5,55721.5,39.7513031,-105.2215277,50355.10884821721,481022.0318968593,4400178.349752772,13S
11/20/2025,15:28:41.6,55721.6,39.75130388,-105.2215284,50351.79405778326,481021.9721428159,4400178.436469804,13S
