Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
kafadar borehole,,,481043.533,4400178.933,1743.994,,-105.22127674,39.75130883,1743.994,Local,,,,,,,m,,,,,,,,,,,,,,,,WGS 84 / UTM zone 13N,,,,,,,
"(-5,-20)",,,481034.552,4400157.172,1744.993,,-105.22138095,39.75111257,1744.993,Global,0.4,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-16 14:23:52.4 UTC-06:00,2025-10-16 14:23:52.4 UTC-06:00,1,1.5,1.8,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,23.677,,WGS 84 / UTM zone 13N,7,6,8,5,0,Reach RS3,82437308B6C6AD5B
"(-10,-20)",,,481030.603,4400154.342,1745.176,,-105.22142695,39.75108698,1745.176,Global,0.4,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-16 14:24:08.2 UTC-06:00,2025-10-16 14:24:08.2 UTC-06:00,1,1.3,1.6,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,27.915,,WGS 84 / UTM zone 13N,7,6,8,5,0,Reach RS3,82437308B6C6AD5B
"(-15,-20)",,,481026.852,4400151.702,1745.261,,-105.22147067,39.75106311,1745.261,Global,0.5,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-16 14:24:27.4 UTC-06:00,2025-10-16 14:24:27.4 UTC-06:00,1,1.3,1.6,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,32.077,,WGS 84 / UTM zone 13N,7,5,8,5,0,Reach RS3,82437308B6C6AD5B
"(-20,-20)",,,481022.672,4400148.630,1745.277,,-105.22151938,39.75103534,1745.277,Global,0.3,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-16 14:24:43.4 UTC-06:00,2025-10-16 14:24:43.4 UTC-06:00,1,1.3,1.6,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,36.912,,WGS 84 / UTM zone 13N,7,5,8,5,0,Reach RS3,82437308B6C6AD5B
"(0,-20)",,,481038.610,4400160.115,1744.815,,-105.22133366,39.75113918,1744.815,Global,0.2,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-16 14:25:19.4 UTC-06:00,2025-10-16 14:25:19.4 UTC-06:00,1,1.3,1.6,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,19.596,,WGS 84 / UTM zone 13N,7,5,8,5,0,Reach RS3,82437308B6C6AD5B
"(5,-20)",,,481042.718,4400162.939,1744.595,,-105.22128579,39.75116471,1744.595,Global,0.1,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-16 14:25:55.8 UTC-06:00,2025-10-16 14:25:55.8 UTC-06:00,1,1.3,1.6,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,16.155,,WGS 84 / UTM zone 13N,7,5,8,5,0,Reach RS3,82437308B6C6AD5B
"(10,-20)",,,481047.250,4400166.189,1744.376,,-105.22123298,39.75119409,1744.376,Global,0.1,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-16 14:26:15.0 UTC-06:00,2025-10-16 14:26:15.0 UTC-06:00,1,1.3,1.6,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,13.397,,WGS 84 / UTM zone 13N,7,5,8,5,0,Reach RS3,82437308B6C6AD5B
"(15,-20)",,,481051.774,4400169.383,1744.169,,-105.22118027,39.75122297,1744.169,Global,0.2,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-16 14:26:33.0 UTC-06:00,2025-10-16 14:26:33.0 UTC-06:00,1,1.3,1.6,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,12.704,,WGS 84 / UTM zone 13N,7,5,7,5,0,Reach RS3,82437308B6C6AD5B
"(20,-20)",,,481055.541,4400172.087,1743.996,,-105.22113638,39.75124742,1743.996,Global,0.4,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-16 14:26:52.4 UTC-06:00,2025-10-16 14:26:52.4 UTC-06:00,1,1.3,1.6,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,13.881,,WGS 84 / UTM zone 13N,7,5,8,5,0,Reach RS3,82437308B6C6AD5B
